Handle,ObjType,Content,Layer,Extra
AF4DC6,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DC8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DC9,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCC,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCD,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCE,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DCF,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DD0,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DD1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DD2,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DD3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DD4,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.994767100000072
AF4DDB,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DE1,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DE7,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DEC,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DF2,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DF8,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4DFE,BlockReference,"L-SECLBL",L-SECLBL,0.99947671
AF4F93,DBText,"Theor. N.W.1/4 Sec. 26-64-17-W.5M.",C-SYMBOL,19.989534200000143
AF4F94,DBText,"Theor. N.E.1/4 Sec. 26-64-17-W.5M.",C-SYMBOL,19.989534200000143
AF4F95,DBText,"Theor. S.E.1/4 Sec. 26-64-17-W.5M.",C-SYMBOL,19.989534200000143
AF4F96,DBText,"Theor. S.W.1/4 Sec. 25-64-17-W.5M.",C-SYMBOL,19.989534200000143
AF4F97,DBText,"Theor. S.E.1/4 Sec. 25-64-17-W.5M.",C-SYMBOL,19.989534200000143
AF4F98,DBText,"Theor. S.W.1/4 Sec. 30-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F99,DBText,"Theor. S.E.1/4 Sec. 30-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F9B,DBText,"Theor. N.W.1/4 Sec. 20-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F9C,DBText,"Theor. S.W.1/4 Sec. 20-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F9D,DBText,"Theor. S.E.1/4 Sec. 20-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F9E,DBText,"Theor. N.E.1/4 Sec. 19-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4F9F,DBText,"Theor. S.W.1/4 Sec. 21-64-16-W.5M.",C-SYMBOL,19.989534200000143
AF4FC3,MText,"Rge. 17",D-TXT,13.992673940000147
AF4FC6,MText,"Rge. 16",D-TXT,13.992673940000147
AF5243,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5262,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5292,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF52DE,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5305,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5335,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5365,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF53B3,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF5598,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF55D4,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF5625,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF564D,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF5675,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF56A6,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF56CE,AlignedDimension,"Blue Ridge  A/R  781064  As-Built Location)",F-AR-T,Compass 5 000
AF571A,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF5773,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF57A4,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF5961,AlignedDimension,"Murphy  Waterline R/W LOC 195181  be Amended)",C-AR-T,Compass 5 000
AF5A3C,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5A76,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5AC7,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5CDA,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5D0B,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5D3C,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5D75,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5DAF,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5DE9,AlignedDimension,"Murphy  P/L R/W  210458  be Amended)",C-RW-T,Compass 5 000
AF5E77,AlignedDimension,"Paramount  P/L R/W  940101",F-RW-T,Compass 5 000
AF5E9F,AlignedDimension,"Paramount  P/L R/W  940101",F-RW-T,Compass 5 000
AF611D,AlignedDimension,"Murphy  P/L R/W  220735",C-RW-T,Compass 5 000
AF6177,AlignedDimension,"Athabasca  P/L R/W  240156",F-RW-T,Compass 5 000
AF6382,AlignedDimension,"Enercapita  A/R  060237",F-AR-T,Compass 5 000
AF63A6,MText,"Murphy 4-21 (Surface) MSL 131866",C-WS-T,9.99476710000007
AF63A7,AlignedDimension,"Murphy  P/L R/W  180910",C-RW-T,Compass 5 000
AF77D4,AlignedDimension,"Murphy  P/L R/W  220796",C-RW-T,Compass 5 000
AF7805,AlignedDimension,"Millar  A/R  920343",F-AR-T,Compass 5 000
AF79FE,MText,"Murphy 16-27 (Surface) MSL 190392",C-WS-T,9.99476710000007
AF92D5,BlockReference,"GAS",C-WS-S,5.000000000000035
AF94D4,BlockReference,"GABD",F-WS-S,4.997383550000034
AF94D5,MText,"4-25 (Abd.)",F-WS-T,9.994767100000068
AF9E28,MText,"Atikkamek Creek",T-WATER-T,10.000000000000066
AFA021,MText,"Atikkamek Creek",T-WATER-T,9.994767100000065
AFA02B,MText,"Atikkamek Creek",T-WATER-T,9.994767100000065
AFFF06,MText,"Special Access Zone Boundary",AS-WILDLIFE,10.000000000000064
B004DB,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991627360000125
B00693,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991627360000125
B0084A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991627360000125
B0086E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991627360000125
B00899,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.991627360000125
