Handle,ObjType,Content,Layer,Extra
BCE1DB,BlockReference,"L-SECLBL",L-SECLBL,1
BCE1E1,BlockReference,"L-SECLBL",L-SECLBL,1
BCE1F3,BlockReference,"L-SECLBL",L-SECLBL,1
BCEA14,BlockReference,"L-SECLBL",L-SECLBL,1
BCEA1A,BlockReference,"L-SECLBL",L-SECLBL,1
BCEA20,BlockReference,"L-SECLBL",L-SECLBL,1
BCEA33,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA34,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA37,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA38,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA39,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA3A,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA3B,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA3C,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA3D,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA3E,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA3F,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA40,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA41,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA42,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA43,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA44,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA52,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA53,DBText,"(Undeveloped)",T-TEXT,10
BCEA54,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA55,DBText,"(Undeveloped)",T-TEXT,10
BCEA5E,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA5F,DBText,"Government Road Allowance",L-ROAD-T,10
BCEA66,DBText,"(High Grade Gravel)",T-TEXT,10
BCEA67,DBText,"Government Road Allowance",L-ROAD-T,10
BCF28B,DBText,"(High Grade Gravel)",T-TEXT,10
BCF28C,DBText,"Government Road Allowance",L-ROAD-T,10
BCF2AC,DBText,"(Undeveloped)",T-TEXT,9.999999999999998
BCFBBE,DBText,"(High Grade Gravel)",T-TEXT,10
BCFBBF,DBText,"Government Road Allowance",L-ROAD-T,10
BCFBC6,DBText,"(High Grade Gravel)",T-TEXT,10
BCFBC7,DBText,"Government Road Allowance",L-ROAD-T,10
BD04D2,DBText,"S.W.1/4 Sec. 26-41-4-W.5M.",C-SYMBOL,20
