Handle,ObjType,Content,Layer,Extra
AFF792,DBText,"Road Allowance",L-ROAD-T,10.000000000000025
AFF793,DBText,"(Undeveloped)",T-TEXT,10.000000000000025
AFF794,DBText,"Road Allowance",L-ROAD-T,10.000000000000025
AFF79E,BlockReference,"L-SECLBL",L-SECLBL,1
AFF7A4,BlockReference,"L-SECLBL",L-SECLBL,1
AFF938,BlockReference,"L-SECLBL",L-SECLBL,1
B00220,AlignedDimension,"PMC  P/L R/W  2038 NY (LTO)  Plan 3900393  Plan 4999996",F-RW-T,Compass 5 000
B00275,AlignedDimension,"PMC  P/L R/W  2038 NY (LTO)  Plan 3900393  Plan 4999996",F-RW-T,Compass 5 000
B00F04,AlignedDimension,"PMC  P/L R/W  2038 NY (LTO)  Plan 3900393  Plan 4999996",F-RW-T,Compass 5 000
B01DB8,DBText,"Road Allowance",L-ROAD-T,9.995738799999838
B023BF,MText,"Buried Telus Cable",AS-TELUS,9.995738799999907
B023C0,MText,"ATCO O/H Power Line",AS-POWER,9.995738799999907
B0241D,DBText,"S-Wc",WETLAND-T,10.004263016556648
B0241E,DBText,"F-Wc",WETLAND-T,10.004263016556648
B0241F,DBText,"S-Wc",WETLAND-T,10.004263016556648
B02420,DBText,"F-Wc",WETLAND-T,10.004263016556648
B02421,MText,"N.E.1/4  Sec. 23-79-12-W.5M.",C-SYMBOL,19.991477599999826
B02422,MText,"L.S. 9",L-SECTION-LSD,9.995738799999833
B02424,MText,"L.S. 10",L-SECTION-LSD,9.995738799999833
B02426,MText,"L.S. 16",L-SECTION-LSD,9.995738799999833
B02428,MText,"L.S. 15",L-SECTION-LSD,9.995738799999833
B0242A,DBText,"F-Wc",WETLAND-T,10.004263016556648
B02914,AlignedDimension,"Islander  A/R  _______",C-AR-T,Compass 5 000
B02915,MText,"Islander  16-24 (Hz) Plan _______",C-WS-T,9.995738799999945
B02917,AlignedDimension,"PMC  A/R  Plan 3900372",F-AR-T,Compass 5 000
B02918,AlignedDimension,"Summerland  A/R  on MSLR)",F-AR-T,Compass 5 000
B0291A,AlignedDimension,"Summerland  A/R  on MSLR)",F-AR-T,Compass 5 000
B0291B,AlignedDimension,"Summerland  A/R",F-AR-T,Compass 5 000
B0291C,AlignedDimension,"ATCO 6.10 Power Line R/W Metis Plan 5000405",F-RW-T,Compass 5 000
B0291D,AlignedDimension,"PMC  P/L R/W  2038 NY (LTO)  Plan 3900393  Plan 4999996",F-RW-T,Compass 5 000
B0291E,AlignedDimension,"PMC  P/L R/W Plan 15 NY (LTO)  Plan 3900430  Plan 4999997",F-RW-T,Compass 5 000
B0291F,MText,"PMC Pumping Station Plan 638 TR (LTO) Metis Plan 3900379",F-WS-T,9.995738799999838
B02921,MText,"Summerland 10-23 (Surface) (Not on MSLR)",F-WS-T,9.995738799999838
B02923,MText,"Hwy. 750",L-TITLEDB-T,9.995738799999838
B02926,MText,"5.00 Road Plan 872 2430 (LTO) Metis Plan 3890126",L-TITLEDB-T,9.995738799999838
B02928,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.978252927164792
B0292A,AlignedDimension,"30.00 Road  852 1166 (LTO)  Plan 3890132",L-TITLEDB-T,Compass 5 000
B0292E,AlignedDimension,"Islander  A/R  _______",C-AR,Compass 5 000
B0292F,DBText,"(Undeveloped)",T-TEXT,9.995738799999838
B02930,DBText,"(Undeveloped)",T-TEXT,9.995738799999838
B02931,DBText,"(Paved)",T-TEXT,9.995738799999838
B02933,MText,"Wood Pile",T-TEXT,9.995738799999849
B02934,DBText,"Cut Block",T-TEXT,9.995738799999907
B02935,MText,"Cropline",T-TEXT,9.995738799999945
B02937,MText,"4m Trail",T-TEXT,9.995738799999875
B0293E,MText,"Little Horse Creek",T-WATER-T,10.000000000000025
B02940,MText,"Ephemeral  Draw",T-WATER-T,9.995738799999945
B02943,MText,"Ephemeral Draw",T-WATER-T,9.995738799999945
B02945,MText,"Ephemeral Draw",T-WATER-T,9.995738799999945
B02949,MText,"Low Area",T-LOW-AREA-T,9.995738799999945
B0294B,MText,"Ditch",T-LOW-AREA-T,9.995738799999945
B0294C,DBText,"10-20cm  Spruce",T-BUSH-T,9.995738799999907
B0294D,DBText,"10 - 20cm  Poplar",T-BUSH-T,9.995738799999907
B02963,BlockReference,"*U52",AS-OWNER,0.9982240237547088
B0297B,BlockReference,"*U49",0,4.999999999999889
B02984,BlockReference,"*U48",0,4.999999999999889
B0298D,BlockReference,"*U50",0,4.999999999999914
B02996,BlockReference,"*U51",0,4.999999999999914
B029A0,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B029A1,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B029A2,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B029A3,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B029A4,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B029A5,BlockReference,"POWERPOLE",AS-POWER-EXISTING-PP,4.997869399999991
B035AE,MText,"Islander  Battery Site Plan _______",C-WS-T,9.995738799999945
B04F2E,DBText,"S.E.1/4 Sec. 23-79-12-W.5M.",C-SYMBOL,20.00000000000005
B04F31,BlockReference,"*U52",AS-OWNER,0.9982240237547088
B04F40,MText,"L.S. 1",L-SECTION-LSD,10.000000000000025
B04F41,MText,"L.S. 2",L-SECTION-LSD,10.000000000000025
B04F43,MText,"L.S. 8",L-SECTION-LSD,10.000000000000025
B04F44,MText,"L.S. 7",L-SECTION-LSD,10.000000000000025
B05A1D,MText,"Little Horse Lake",T-WATER-T,10.000000000000025
B06348,DBText,"S.W.1/4 Sec. 24-79-12-W.5M.",C-SYMBOL,20.00000000000005
B0634B,MText,"L.S. 3",L-SECTION-LSD,10.000000000000025
B0634D,MText,"L.S. 4",L-SECTION-LSD,10.000000000000025
B0634F,MText,"L.S. 6",L-SECTION-LSD,10.000000000000025
B06351,MText,"L.S. 5",L-SECTION-LSD,10.000000000000025
B06353,DBText,"Road Allowance",L-ROAD-T,10.000000000000025
B06354,DBText,"(Undeveloped)",T-TEXT,10.000000000000025
B06358,MText,"L.S. 11",L-SECTION-LSD,10.000000000000025
B0635A,MText,"L.S. 12",L-SECTION-LSD,10.000000000000025
B0635C,MText,"L.S. 14",L-SECTION-LSD,10.000000000000025
B0635D,MText,"L.S. 13",L-SECTION-LSD,10.000000000000025
B0635F,BlockReference,"*U52",AS-OWNER,0.9982240237547088
B0636E,BlockReference,"*U52",AS-OWNER,0.9982240237547088
B06899,BlockReference,"GAS",F-WS-S,5.000000000000012
B0689A,BlockReference,"GAS",F-WS-S,5.000000000000012
B0689B,BlockReference,"GAS",F-WS-S,5.000000000000012
B0689C,BlockReference,"GAS",F-WS-S,5.000000000000012
B068A5,BlockReference,"GAS",C-WS-S,5.000000000000012
B0A283,BlockReference,"fdspike",L-MON,5.000000000000012
B0A288,BlockReference,"fdspike",L-MON,5.000000000000012
B0A28D,BlockReference,"FDI",L-MON,5.000000000000012
B0A297,BlockReference,"FDI",L-MON,5.000000000000012
B0A29C,BlockReference,"FDI",L-MON,5.000000000000012
B0A2A1,BlockReference,"FDI",L-MON,5.000000000000012
B0A2A6,BlockReference,"plspike",L-MON,4.997868300000009
B0A2AB,BlockReference,"plspike",L-MON,4.997868300000009
B0A2B4,BlockReference,"plspike",L-MON,4.997868300000009
B0A2B9,BlockReference,"plspike",L-MON,4.997868300000009
B0A2BE,BlockReference,"plspike",L-MON,4.997868300000009
B0A2C3,BlockReference,"plspike",L-MON,4.997868300000009
B0A2C8,BlockReference,"plspike",L-MON,4.997868300000009
B0A2CD,BlockReference,"plspike",L-MON,4.997868300000009
B0DAF3,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.978252927164792
B0DB07,MText,"Gift Lake Metis Settlement Plan 902 1748 Plan 872 2028",L-TITLEDB-T,11.978252927164792
B13625,BlockReference,"TEMP",L-MON,4.997868300000011
B155F7,DBText,"88°58'30''",L-BD,9.995736600000022
B155FA,DBText,"126°36'50''",L-BD,9.995736600000022
B155FC,DBText,"126°36'50''",L-BD,9.995736600000022
B155FE,DBText,"35''",L-BD1,9.995736600000022
B15600,DBText,"179°",L-BD1,9.995736600000022
B15601,DBText,"126°36'50''",L-BD1,9.995736600000022
B15604,DBText,"126°36'50''",L-BD1,9.995736600000022
B15605,DBText,"152°53'40''",L-BD1,9.995736600000022
B15608,DBText,"179°08'25''",L-BD1,9.995736600000022
B15618,DBText,"05'",L-BD1,9.995736600000022
B15D94,MText,"157.72 88°58'30''",L-BD,9.995736600000022
B15D97,MText,"Fd.I.",L-MON,9.995736600000022
B15D9F,MText,"Fd.I.",L-MON,9.995736600000022
B15DA7,MText,"Re-est. Position by Plan 638 TR",L-MON,9.995736600000022
B16D91,BlockReference,"WC",L-MON,4.997868300000009
B17613,DBText,"200m",AUX-BUFFER,9.995736600000022
B17616,DBText,"100m",AUX-BUFFER,9.995736600000022
B17617,BlockReference,"WC",0,4.997868300000011
B17E17,MText,"Fd.I. (Bent) Accepted I. Hole",L-MON,9.995736600000022
B18596,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B185B2,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B18D52,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B18D71,AlignedDimension,"20.00 A/R",P-TXT,Compass 5 000
B18D9A,MText,"SEE WELL SITE DETAIL",DETAIL-T,15.993178560000043
B18D9C,MText,"100.0x100.0 Borrow Pit",P-TEMP_BORROW PIT,9.995736600000022
B18DA5,MText,"100.0x100.0 Borrow Pit",P-TEMP_BORROW PIT,9.995736600000022
B1964A,DBText,"100m",AUX-BUFFER,9.995736600000022
B19650,DBText,"179°",L-BD1,9.995736600000022
B19652,DBText,"89°08'25''",L-BD1,9.995736600000022
B19654,DBText,"359°08'25''",L-BD1,9.995736600000022
B19656,DBText,"269°08'25''",L-BD1,9.995736600000022
B19658,BlockReference,"plspike",L-MON,4.997868300000009
B19659,BlockReference,"plspike",L-MON,4.997868300000009
