Handle,ObjType,Content,Layer,Extra
BC708E,DBText,"RP",35,10.000000000000048
BC716D,DBText,"RP",35,10.000000000000048
BC7183,BlockReference,"L-SECLBL",L-SECLBL,0.999873
BC7198,AlignedDimension,"CNRL  P/L R/W  022954",F-RW-T,Compass 5 000
BC7199,AlignedDimension,"CNRL  A/R  022840",F-AR-T,Compass 5 000
BC719A,AlignedDimension,"CNRL  A/R  002285  be Cancelled)",F-AR-T,Compass 5 000
BC719B,MText,"Murphy 4-12 (Surface) MSL 003196 (To be Cancelled)",C-WS-T,9.998730000000032
BC719D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998730000000032
BC71C0,AlignedDimension,"CNRL  A/R  002286",F-AR-T,Compass 5 000
BC71C1,MText,"Theor. S.W.1/4 Sec. 12-94-13-W.6M.",C-SYMBOL,19.997460000000054
BC71C2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.997968000000036
BC71C4,MText,"L.S. 3",L-SECTION-LSD,9.998730000000027
BC71C6,MText,"L.S. 4",L-SECTION-LSD,9.998730000000027
BC71C8,MText,"L.S. 6",L-SECTION-LSD,9.998730000000027
BC71CA,MText,"L.S. 5",L-SECTION-LSD,9.998730000000027
BC7595,BlockReference,"TEMP",L-MON,4.999365000000011
BC7596,BlockReference,"TEMP",L-MON,4.999365000000011
BC7597,BlockReference,"TEMP",L-MON,4.999365000000011
BC7598,BlockReference,"TEMP",L-MON,4.999365000000011
BC776D,AlignedDimension,"8.0 A/R",P-TXT,Compass 5 000
BC779E,BlockReference,"TEMP",L-MON,4.999365000000011
BC779F,BlockReference,"TEMP",L-MON,4.999365000000011
BC77A0,BlockReference,"TEMP",L-MON,4.999365000000011
BC77AF,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998730000000034
BC77B3,MText,"Murphy 4-12 (Surface) MSL 003196 (To be Cancelled)",C-WS-T,9.998730000000016
BC77B5,BlockReference,"TEMP",L-MON,4.999365000000011
BC77B6,BlockReference,"TEMP",L-MON,4.999365000000011
BC77B7,BlockReference,"TEMP",L-MON,4.999365000000011
BC77B8,BlockReference,"TEMP",L-MON,4.999365000000011
BC77BA,AlignedDimension,"8.0 A/R",P-TXT,Compass 5 000
BC77BB,BlockReference,"TEMP",L-MON,4.999365000000011
BC77BC,BlockReference,"TEMP",L-MON,4.999365000000011
BC77BD,BlockReference,"TEMP",L-MON,4.999365000000011
BC79CE,DBText,"244%%D54'",L-BD1,9.998730000000021
BC7BEE,DBText,"154°",L-BD1,9.998730000000016
BC7BEF,DBText,"54'",L-BD1,9.998730000000016
BC7BF2,DBText,"64%%D54'",L-BD1,9.998730000000021
BC7BF4,DBText,"154%%D54'",L-BD1,9.998730000000021
BC7DC4,MText,"10.0x10.0 Corner Cut",P-TXT,9.998730000000016
BC7DC6,AlignedDimension,"CNRL  A/R  002285  be Cancelled)",F-AR-T,Compass 5 000
BC7E1A,MText,"SEE DETAIL",DETAIL-T,15.997968000000022
BC7E1C,MText,"DETAIL SCALE 1:2000",DETAIL-T,19.997460000000032
BC8AB1,DBText,"383.1 (Tie)",L-BD,9.998730000000005
BC8AB2,DBText,"343%%d18'",L-BD,9.998730000000005
BC8AB5,DBText,"349.7 (Tie)",L-BD,9.998730000000005
BC8AB6,DBText,"214%%d40'",L-BD,9.998730000000005
BC8C64,DBText,"349.7 (Tie)",L-BD,9.998730000000005
BC8C65,DBText,"214%%d40'",L-BD,9.998730000000005
BC8C67,DBText,"383.1 (Tie)",L-BD,9.998730000000005
BC8C68,DBText,"343%%d18'",L-BD,9.998730000000005
BC8ED6,DBText,"74%%d57'",L-BD1,9.998730000000016
BC8ED9,MText,"198°19'",L-BD1,9.998730000000018
BC93F3,DBText,"112°28'",L-BD,9.998730000000005
BC93F4,DBText,"112°28'",L-BD,9.998730000000005
BD0BCC,MText,"100m FNC Buffer",P-BUFFER-T,9.99873
BD4F21,BlockReference,"Disclaimer_Legal",C-AR,0.2
