Handle,ObjType,Content,Layer,Extra
BD3669,BlockReference,"HRV",CG-NOTES,1
BD3E9C,BlockReference,"L-SECLBL",L-SECLBL,0.999619
BD3EA2,AlignedDimension,"Pembina  P/L R/W  190582",F-RW-T,Compass 5 000
BD3EF5,AlignedDimension,"ARC  P/L R/W  151133",F-RW-T,Compass 5 000
BD3F2A,AlignedDimension,"ATCO  Powerline R/W  780106",F-EZE-T,Compass 5 000
BD4895,AlignedDimension,"ATCO  Powerline R/W  2999",F-EZE-T,Compass 5 000
BD4903,MText,"Theor. S.E.1/4 Sec. 21-65-5-W.6M.",C-SYMBOL,19.992379999999873
BD4911,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BD5183,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999936
BD5184,BlockReference,"HRV",CG-NOTES,1
BD59C2,AlignedDimension,"Transportation  Road  180034",L-TITLEDB-T,Compass 5 000
BD6336,AlignedDimension,"ATCO  Powerline R/W  200002",F-EZE-T,Compass 5 000
BD637A,AlignedDimension,"ATCO  Powerline R/W  780106",F-EZE-T,Compass 5 000
BD63BF,AlignedDimension,"Nuvista  A/R  170121",C-AR-T,Compass 5 000
BD641B,AlignedDimension,"Transportation  Road  180033",L-TITLEDB-T,Compass 5 000
BD6C88,AlignedDimension,"Transportation  Width Road  862 1126",L-TITLEDB-T,Compass 5 000
BD6CC1,MText,"Cutbank River",T-WATER-T,9.996189999999936
BD6CC5,MText,"Theor. S.W.1/4 Sec. 21-65-5-W.6M.",C-SYMBOL,19.992379999999873
BD6CC6,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BD6CC8,BlockReference,"HRV",CG-NOTES,1
BD6CD8,BlockReference,"HRV",CG-NOTES,0.999619
BD763E,MText,"Nuvista Water Intake LOC 170382",C-WS-T,9.996189999999936
BD7662,MText,"Nuvista Pumping  Station PIL 170179",C-WS-T,9.996189999999936
BD7E96,AlignedDimension,"Nuvista  A/R  170381",C-AR-T,Compass 5 000
BD7ED3,MText,"Nuvista Pumping  Station PIL 170063",C-WS-T,9.996189999999936
BD870D,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999936
BD904B,MText,"Culvert",T-TEXT,9.996189999999936
BD904F,MText,"Gate",T-TEXT,9.996189999999936
BD9050,MText,"Gate",T-TEXT,9.996189999999936
BD9053,MText,"Culvert",T-TEXT,9.996189999999936
BDB477,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BDBCAB,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BDBDD8,MText,"Cutbank River",T-WATER-T,9.996189999999936
BDBDD9,MText,"Gate",T-TEXT,9.996189999999936
BDCF57,MText,"4m Trail",T-TEXT,9.996189999999936
BDCF59,MText,"4m Trail",T-TEXT,9.996189999999936
BDD89B,MText,"Intermittent Watercourse",T-WATER-T,9.996189999999936
BDD89D,AlignedDimension,"Weyerhaeuser  A/R   4508",F-AR-T,Compass 5 000
BDEB1A,MText,"Ditch",T-TEXT,9.996189999999936
BDEB1C,MText,"Ditch",T-TEXT,9.996189999999936
BDF467,AlignedDimension,"CNRL  A/R  971270",F-AR-T,Compass 5 000
BDF523,MText,"543077 Alberta Ltd. Storage Site DML 170075",F-WS-T,9.996189999999936
BDF525,MText,"Weyerhaeuser CLR 950077",F-WS-T,9.996189999999936
BDFE69,MText,"Theor. N.W.1/4 Sec. 21-65-5-W.6M.",C-SYMBOL,19.992379999999883
BDFE6A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BDFE6C,MText,"CNRL 13-21 (Surface) MSL 971892 (Expired)",F-WS-T,9.996189999999936
BDFE90,AlignedDimension,"CNRL  P/L R/W  041561",F-RW-T,Compass 5 000
BDFECB,AlignedDimension,"CNRL  P/L R/W  062919",F-RW-T,Compass 5 000
BDFF03,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BDFF04,MText,"Ditch",T-TEXT,9.996189999999936
BDFF08,MText,"Dugout",T-WATER-T,9.996189999999936
BDFF09,BlockReference,"L-SECLBL",L-SECLBL,0.999619
BE0752,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE0759,AlignedDimension,"Paramount  A/R  142120",F-AR-T,Compass 5 000
BE079D,MText,"Ovintov Water Reservoir LOC 160215",F-WS-T,9.996189999999936
BE07A1,MText,"Theor. N.E.1/4 Sec. 20-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE07A2,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE1A36,MText,"Ephemeral Draw",T-WATER-T,9.996189999999936
BE1A3A,AlignedDimension,"Ovintov  A/R  790041",F-AR-T,Compass 5 000
BE1A7E,MText,"Ovintov Riser Site PIL 140638",F-WS-T,9.996189999999936
BE1AA7,MText,"Paramount Riser Site PIL 170170 (Expired)",F-WS-T,9.996189999999936
BE1AAE,AlignedDimension,"Paramount  A/R  170352",F-AR-T,Compass 5 000
BE1AE9,AlignedDimension,"Paramount  P/L R/W  140414",F-RW-T,Compass 5 000
BE2357,AlignedDimension,"Paramount  P/L R/W  141490",F-RW-T,Compass 5 000
BE2395,MText,"8m Paved Road",T-TEXT,9.996189999999936
BE2396,AlignedDimension,"Weyerhaeuser  A/R   4508",F-AR-T,Compass 5 000
BE2CF8,MText,"Culvert",T-TEXT,9.996189999999936
BE2CFA,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE2CFB,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE2CFC,AlignedDimension,"CNRL  P/L R/W  062919",F-RW-T,Compass 5 000
BE3672,MText,"Key Wildlife & Biodiversity Zone Boundary",AS-WILDLIFE,9.996189999999942
BE3674,BlockReference,"L-SECLBL",L-SECLBL,0.999619
BE367C,MText,"Theor. S.E.1/4 Sec. 29-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE367D,MText,"Theor. S.W.1/4 Sec. 29-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE367E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE3FD1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE3FDB,MText,"CNRL 10-29 (Surface) MSL 062533",F-WS-T,9.996189999999936
BE3FDD,AlignedDimension,"CNRL  A/R  140060",F-AR-T,Compass 5 000
BE49CF,AlignedDimension,"CNRL  A/R  061919",F-AR-T,Compass 5 000
BE4A09,AlignedDimension,"CNRL  A/R  061919",F-AR-T,Compass 5 000
BE4A28,MText,"Ditch",T-TEXT,9.996189999999936
BE4A2B,AlignedDimension,"Weyerhaeuser  A/R   4508",F-AR-T,Compass 5 000
BE4A49,MText,"10m High Grade Gravel Road",T-TEXT,9.996189999999936
BE4A4A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE4A4C,AlignedDimension,"Paramount  P/L R/W  140414",F-RW-T,Compass 5 000
BE4A72,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE4A78,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99618999999994
BE526C,AlignedDimension,"Weyerhaeuser  A/R   4508",F-AR-T,Compass 5 000
BE528A,BlockReference,"L-SECLBL",L-SECLBL,0.999619
BE5295,MText,"Theor. N.W.1/4 Sec. 30-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE5296,MText,"Theor. N.E.1/4 Sec. 30-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE5297,MText,"Theor. S.E.1/4 Sec. 30-65-5-W.6M.",C-SYMBOL,19.992379999999883
BE5298,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE529A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE529C,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.993903999999915
BE52A3,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996189999999942
BE5B80,MText,"Altair 2-30 (Surface) MSL 870065",F-WS-T,9.996189999999936
BE6457,AlignedDimension,"Altair  A/R  870015",F-AR-T,Compass 5 000
BE6485,MText,"Culvert",T-TEXT,9.996189999999936
BE6487,MText,"Culvert",T-TEXT,9.996189999999936
BE6489,MText,"Culvert",T-TEXT,9.996189999999936
BE6CD8,AlignedDimension,"CNRL  P/L R/W  111512",F-AR-T,Compass 5 000
BE6D3B,MText,"CNRL 9-30 (Surface) MSL 073009",F-WS-T,9.996189999999936
BE7F1F,MText,"Ditch",T-TEXT,9.996189999999936
BE7F22,MText,"Ditch",T-TEXT,9.996189999999936
BE7F24,MText,"Culvert",T-TEXT,9.996189999999936
BE7F26,AlignedDimension,"Paramount  P/L R/W  140414",F-RW-T,Compass 5 000
BE7F45,AlignedDimension,"CNRL  P/L R/W  140220",F-AR-T,Compass 5 000
BE7F6D,AlignedDimension,"Weyerhaeuser  A/R   4508",F-AR-T,Compass 5 000
BE7F94,MText,"10m High Grade Gravel Road",T-TEXT,9.996189999999936
BE905A,AlignedDimension,"CNRL  A/R  072009",F-AR-T,Compass 5 000
BE90C1,AlignedDimension,"CNRL  P/L R/W  130994",F-RW-T,Compass 5 000
BE90FC,MText,"CNRL 14-30 (Surface) MSL 130307",F-WS-T,9.996189999999936
BE9106,AlignedDimension,"Paramount  P/L R/W  140414",F-RW-T,Compass 5 000
BE912E,AlignedDimension,"CNRL  P/L R/W  130994",F-RW-T,Compass 5 000
BE914D,AlignedDimension,"Ovintov  A/R  241404",F-AR-T,Compass 5 000
BE9974,MText,"Culvert",T-TEXT,9.996189999999936
BE9977,MText,"10m High Grade Gravel Road",T-TEXT,9.996189999999936
