Handle,ObjType,Content,Layer,Extra
C21F81,BlockReference,"L-SECLBL",L-SECLBL,1
C21F93,BlockReference,"L-SECLBL",L-SECLBL,1
C21F99,BlockReference,"L-SECLBL",L-SECLBL,1
C21F9F,BlockReference,"L-SECLBL",L-SECLBL,1
C22E3D,DBText,"S.W.1/4 SEC. 9-60-26-W.4M.",C-SYMBOL,19.999999999999766
C22E3F,DBText,"S.E.1/4 SEC. 8-60-26-W.4M.",C-SYMBOL,19.999999999999766
C22E40,DBText,"PROJECT AREA = 0.483 HA  1.19 AC.",L-AREAREQUIRED,10.99999999999988
C22E41,DBText,"N.E.1/4 SEC. 8-60-26-W.4M.",C-SYMBOL,19.999999999999766
C22E42,DBText,"PROJECT AREA = 0.677 HA  1.67 AC.",L-AREAREQUIRED,10.99999999999988
C22E43,DBText,"S.E.1/4 SEC. 17-60-26-W.4M.",C-SYMBOL,19.999999999999766
C22E44,DBText,"PROJECT AREA = 1.107 HA  2.74 AC.",L-AREAREQUIRED,10.99999999999988
C22E45,DBText,"S.W.1/4 SEC. 17-60-26-W.4M.",C-SYMBOL,19.999999999999766
C22E46,DBText,"PROJECT AREA = 0.714 HA  1.76 AC.",L-AREAREQUIRED,10.99999999999988
C23C79,DBText,"N.W.1/4 SEC. 9-60-26-W.4M.",C-SYMBOL,19.999999999999766
C23C7A,DBText,"PROJECT AREA = 1.774 HA  4.38 AC.",L-AREAREQUIRED,10.99999999999988
C23C7F,DBText,"S.W.1/4 SEC. 16-60-26-W.4M.",C-SYMBOL,19.999999999999766
C23C80,DBText,"PROJECT AREA = 0.538 HA  1.33 AC.",L-AREAREQUIRED,10.99999999999988
C3960A,AlignedDimension,"APEX  P/L R/W  832 0164",C-RW-T,Compass 5 000
C39617,AlignedDimension,"APEX  P/L R/W  832 0164",C-RW-T,Compass 5 000
C39624,AlignedDimension,"APEX  P/L R/W  832 0164",C-RW-T,Compass 5 000
C3A52D,AlignedDimension,"CNRL  P/L R/W  772 0225",F-RW-T,Compass 5 000
C3A567,AlignedDimension,"APEX  P/L R/W  892 2445",C-RW-T,Compass 5 000
C3B3FB,AlignedDimension,"APEX  P/L R/W  892 2445",C-RW-T,Compass 5 000
C3B41F,AlignedDimension,"45.72 ROAD  226 LZ",L-TITLEDB-T,Compass 5 000
C3B43B,AlignedDimension,"45.72 ROAD  226 LZ",L-TITLEDB-T,Compass 5 000
C3B44F,AlignedDimension,"45.72 ROAD  226 LZ",L-TITLEDB-T,Compass 5 000
C3B553,AlignedDimension,"CNR  RAILWAY  7501 AY",L-TITLEDB-T,Compass 5 000
C3B58F,AlignedDimension,"CNR  RAILWAY  7501 AY",L-TITLEDB-T,Compass 5 000
C3B5AB,AlignedDimension,"CNR  RAILWAY  7501 AY",L-TITLEDB-T,Compass 5 000
C3CA67,AlignedDimension,"SEQUOIA  P/L R/W  952 2736",F-RW-T,Compass 5 000
C3CAC2,MText,"LOT 13B BLOCK 12PLAN 152 1585",L-TITLEDB-T,9.999999999999877
C3D92E,AlignedDimension,"3.05 UTILITY R/W  782 1664",F-RW-T,Compass 5 000
C3D94A,AlignedDimension,"TELUS  CABLE R/W  952 2489",F-RW-T,Compass 5 000
C3D984,AlignedDimension,"APEX  P/L R/W  892 2445",C-RW-T,Compass 5 000
C3D9B6,MText,"TOWN OF WESTLOCK",L-33,11.999999999999819
C3D9B8,MText,"WESTLOCK COUNTY",L-33,11.999999999999819
C3D9BA,MText,"TOWN OF WESTLOCK",L-33,11.999999999999819
C3D9BC,MText,"WESTLOCK COUNTY",L-33,11.999999999999819
C3D9BE,AlignedDimension,"15.24 SEWER  LINE R/W  812 0489",F-RW-T,Compass 5 000
C3DA01,MText,"LOT 3 BLOCK 1PLAN 172 3380",L-TITLEDB-T,9.999999999999877
C3DA0B,AlignedDimension,"APEX  P/L R/W  092 9886",C-RW-T,Compass 5 000
C3E8CB,AlignedDimension,"SEQUOIA  A/R",F-AR-T,Compass 5 000
C3E8F7,MText,"SEQUOIA 15-9 (ABD.)",F-WS-T,9.999999999999877
C3F84D,BlockReference,"GABD",F-WS-S,4.99999999999994
C3F84E,MText,"6-16 (ABD.)",F-WS-T,9.999999999999877
C56791,BlockReference,"GABD",F-WS-S,4.99999999999994
C56796,MText,"9-8 (Abd.)",F-WS-T,9.999999999999877
C62C13,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C62C14,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C62C15,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C62C16,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C6376B,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C6376C,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C6376D,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C6376E,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C6376F,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C63773,MText,"APPROXIMATE LOCATION OF APEX DISTRIBUTION LINE",AS-RECON EXISTING-T,9.999999999999877
C63778,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999881
C63779,MText,"TWP. RD. 602",L-ROAD-T,9.999999999999877
C6377A,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999881
C6377B,MText,"TWP. RD. 602",L-ROAD-T,9.999999999999877
C6377C,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999881
C6377D,MText,"TWP. RD. 602",L-ROAD-T,9.999999999999877
C63784,MText,"(HIGH GRADE GRAVEL)",T-TEXT,9.999999999999881
C63785,MText,"RGE. RD. 265",L-ROAD-T,9.999999999999877
C642B9,MText,"(UNDEVELOPED",T-TEXT,9.999999999999881
C642BA,MText,"GOVERNMENT ROAD ALLOWANCE",L-ROAD-T,9.999999999999877
C642C1,MText,"HIGHWAY 44",L-ROAD-T,9.999999999999877
C642C2,MText,"(PAVED)",T-TEXT,9.999999999999881
C642C3,AlignedDimension,"CNR  RAILWAY  7501 AY",L-TITLEDB-T,Compass 5 000
C64E17,MText,"HIGHWAY 44",L-ROAD-T,9.999999999999877
C64E18,MText,"(PAVED)",T-TEXT,9.999999999999881
C64E19,MText,"HIGHWAY 44",L-ROAD-T,9.999999999999877
C64E1A,MText,"(PAVED)",T-TEXT,9.999999999999881
C64E1C,MText,"C. of T.",L-ROAD-T,9.999999999999877
C67D00,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D01,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D02,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D03,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D04,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D05,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C67D06,MText,"APPROXIMATE LOCATION OF TELUS BURIED CABLE",AS-TELEPHONE-T,9.999999999999877
C69424,MText,"FORTIS O/H POWER LINE",AS-POWER-T,9.999999999999877
C69425,MText,"WILD ROSE O/H POWER LINE",AS-POWER-T,9.999999999999877
C69426,MText,"FORTIS O/H POWER LINE",AS-POWER-T,9.999999999999877
C69427,MText,"FORTIS O/H POWER LINE",AS-POWER-T,9.999999999999877
C6942E,MText,"ALTALINK O/H TRANSMISSION LINE",AS-POWER-T,9.999999999999877
C8453F,MText,"LOT 1 BLOCK 1PLAN 102 6804",C-SYMBOL,19.999999999999762
C84541,MText,"PROJECT AREA = 0.054 HA  0.13 AC.",L-AREAREQUIRED,10.999999999999883
C845C4,MText,"LOT 1 BLOCK 1PLAN 242 2236",C-SYMBOL,19.999999999999762
C845C6,MText,"PROJECT AREA = 0.143 HA  0.35 AC.",L-AREAREQUIRED,10.999999999999883
