Handle,ObjType,Content,Layer,Extra
BD04BF,BlockReference,"L-SECLBL",L-SECLBL,1
BD04C5,BlockReference,"L-SECLBL",L-SECLBL,1
BD04CB,DBText,"Theor. N.E.1/4 Sec. 22-64-9-W.6M.",C-SYMBOL,20.00000000000005
BD04CC,DBText,"Theor. N.W.1/4 Sec. 23-64-9-W.6M.",C-SYMBOL,20.00000000000005
BD04CD,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994831999999938
BD04CF,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994831999999938
BD050F,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996769999999904
BD0512,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996769999999904
BD0513,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996769999999904
BD0514,MText,"TPA 2191",AS-TRAPPER-T,10.003291082766244
BD0516,MText,"TPA 708",AS-TRAPPER-T,10.003291082766244
BD0518,MText,"TPA 2767",AS-TRAPPER-T,10.003291082766244
BD051A,MText,"TPA 708",AS-TRAPPER-T,10.003291082766244
BD051C,MText,"TPA 2767",AS-TRAPPER-T,10.003291082766244
BD051E,MText,"TPA 708",AS-TRAPPER-T,10.003291082766244
BD0564,MText,"TPA 2767",AS-TRAPPER-T,10.003291082766246
BD0566,MText,"TPA 708",AS-TRAPPER-T,10.003291082766246
BD058C,MText,"Buried Pipe",AS-PIPE-UG-T,9.998627300000026
BD058E,MText,"Buried Pipe",AS-PIPE-UG-T,9.998627300000026
BD0591,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996769999999904
BD05C9,MText,"DETAIL SCALE 1:2000",DETAIL-T,19.99725460000005
BD05CB,BlockReference,"HRV_Box",CG-NOTES,1
BD05D1,AlignedDimension,"CNRL  A/R  950932",C-AR-T,Compass 5 000
BD05D2,AlignedDimension,"CNRL  A/R  951956",C-AR-T,Compass 5 000
BD05D3,AlignedDimension,"CNRL  A/R  962750",C-AR-T,Compass 5 000
BD05D4,AlignedDimension,"CNRL  A/R  950932",C-AR-T,Compass 5 000
BD05D5,AlignedDimension,"CNRL  A/R  951956",C-AR-T,Compass 5 000
BD05D7,AlignedDimension,"CNRL  A/R  950932",C-AR-T,Compass 5 000
BD05D8,AlignedDimension,"CNRL  A/R  962750",C-AR-T,Compass 5 000
BD05DB,AlignedDimension,"CNRL  P/L R/W  972 0902  960075",C-RW-T,Compass 5 000
BD05DC,AlignedDimension,"CNRL  P/L R/W  972 0902  960075",C-RW-T,Compass 5 000
BD05DD,AlignedDimension,"CNRL  P/L R/W  972 1030  970223",C-RW-T,Compass 5 000
BD05DE,AlignedDimension,"CNRL  P/L R/W  972 0902  960075",C-RW-T,Compass 5 000
BD05DF,AlignedDimension,"CNRL  P/L R/W  972 1030  970223",C-RW-T,Compass 5 000
BD05E0,AlignedDimension,"CNRL  A/R  951956",C-RW-T,Compass 5 000
BD05E1,MText,"CNRL 16-22 (Surface) MSL 952524 (Expired)",C-WS-T,10
BD05F1,MText,"7m Medium Grade Road (Overgrown)",T-TEXT,9.998627300000026
BD05F4,MText,"Bridge",T-TEXT,9.998627300000026
BD05FA,MText,"Cutblock",T-TEXT,9.998627300000026
BD05FC,MText,"Ridge",T-TEXT,9.998627300000026
BD05FE,MText,"Ridge",T-TEXT,9.998627300000026
BD0600,MText,"5m Trail",T-TEXT,9.998627300000026
BD0602,MText,"Bank",T-TEXT,9.998627300000026
BD0606,MText,"7m Medium Grade Road (Overgrown)",T-TEXT,9.998627300000026
BD0610,MText,"(5)Piles",T-TEXT,9.998627300000026
BD0613,MText,"Cutbank River",T-WATER-T,10.000000000000025
BD0614,MText,"Cutbank River",T-WATER-T,10.000000000000025
BD0619,MText,"Start of Ephemeral  Draw",T-WATER-T,9.998627300000026
BD0620,MText,"Small Permanent Creek 1.25 Wide 0.50 Deep",T-WATER-T,9.998627300000026
BD0625,MText,"Cutbank River",T-WATER-T,10.000000000000025
BD0629,MText,"45cm Poplar 40cm Spruce 30cm Scattered Pine",T-BUSH-T,9.998627300000026
BD062B,MText,"30cm Poplar, Spruce & Scattered Pine",T-BUSH-T,9.998627300000026
BD062D,MText,"10-30cm Spruce Willow & Alder",T-BUSH-T,9.998627300000026
BD062F,MText,"40cm Poplar, Spruce & Scattered Pine",T-BUSH-T,9.998627300000026
BD0631,MText,"40cm Poplar, Spruce & Scattered Pine",T-BUSH-T,9.998627300000026
BD0633,MText,"Willow & Alder (Grassy)",T-BUSH-T,9.998627300000026
BD0635,MText,"45cm Poplar 40cm Spruce 30cm Scattered Pine",T-BUSH-T,9.998627300000026
BD0637,MText,"45cm Poplar 40cm Spruce 30cm Scattered Pine",T-BUSH-T,9.998627300000026
BD08A3,MText,"Culvert",T-TEXT,9.998627300000026
BD08A6,MText,"Culvert",T-TEXT,9.998627300000026
BD08A9,MText,"Culvert",T-TEXT,9.998627300000026
BD110A,BlockReference,"TEMP",L-MON,4.998366200000012
BD110B,BlockReference,"TEMP",L-MON,4.998366200000012
BD110C,BlockReference,"TEMP",L-MON,4.998366200000012
BD110D,BlockReference,"TEMP",L-MON,4.998366200000012
BD110E,BlockReference,"TEMP",L-MON,4.998366200000012
BD1169,BlockReference,"TEMP",L-MON,4.998366200000012
BD31E3,BlockReference,"TEMP",L-MON,5.0000000000000115
BD31E4,BlockReference,"TEMP",L-MON,5.0000000000000115
BD31E5,BlockReference,"TEMP",L-MON,5.0000000000000115
BD31E7,BlockReference,"TEMP",L-MON,5.0000000000000115
BD31E9,BlockReference,"TEMP",L-MON,5.0000000000000115
BD32A7,AlignedDimension,"CNRL  Waterline R/W  ______",C-AR-T,Compass 5 000
BD32D9,BlockReference,"TEMP",L-MON,4.998366200000011
BD32DA,BlockReference,"TEMP",L-MON,4.998366200000011
BD42F5,DBText,"831.4 (Tie)",L-BD,9.996732400000022
BD42F6,DBText,"56°15'",L-BD,9.996732400000022
BD42F7,DBText,"831.4 (Tie)",L-BD,9.996732400000022
BD42F8,DBText,"56°15'",L-BD,9.996732400000022
BD6CF6,DBText,"57°54'",L-BD1,9.996732400000022
BD7501,BlockReference,"TEMP",L-MON,4.998366200000011
BD7502,BlockReference,"TEMP",L-MON,4.998366200000011
BD7D00,MText,"237°54' 50.0",L-BD1,9.996732400000022
BD7D01,MText,"147° 50.0",L-BD1,9.996732400000022
BD7D26,BlockReference,"Center_Coords",CG-NOTES,0.99967324
BD7E49,BlockReference,"*U36",CG-NOTES,0.99967324
BDE992,AlignedDimension,"CNRL  Waterline R/W  ______",C-AR-T,Compass 5 000
