Handle,ObjType,Content,Layer,Extra
BC8E42,MText,"Rge. 9",D-TXT,13.995477999999874
BC8E43,MText,"Rge. 8",D-TXT,13.995477999999874
BC8E44,MText,"Twp. 64",D-TXT,13.995477999999872
BC8E45,MText,"Twp. 65",D-TXT,13.995477999999872
BC8E49,DBText,"17th Baseline",L-ROAD-T,9.996769999999879
BC8E4A,DBText,"Government Road Allowance",L-ROAD-T,9.996769999999879
BC8E4B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996769999999879
BC8E4C,DBText,"Theor. S.E.1/4 Sec. 1-65-9-W.6M.",C-SYMBOL,19.993539999999758
BC8E4E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994831999999956
BC8E57,AlignedDimension,"CNRL  A/R  033385",C-AR-T,Compass 5 000
BC8E58,AlignedDimension,"CNRL  A/R  790602",C-AR-T,Compass 5 000
BC8E59,AlignedDimension,"CNRL  P/L R/W  022 2188  010077",C-RW-T,Compass 5 000
BC8E5A,AlignedDimension,"CNRL  P/L R/W  022 2073  002731",C-RW-T,Compass 5 000
BC8E5D,AlignedDimension,"CNRL  P/L R/W  042 4255  041112",C-RW-T,Compass 5 000
BC8E5F,AlignedDimension,"CNRL  P/L R/W  082 1683  051171",C-RW-T,Compass 5 000
BC8E61,AlignedDimension,"CNRL  P/L R/W  250325",C-RW-T,Compass 5 000
BC8E63,MText,"CNRL 3-1 (Surface) MSL 034999",C-WS-T,9.996769999999884
BC8E65,MText,"CNRL 1-1 (Surface) MSL 090671",C-WS-T,9.996769999999884
BC8E68,DBText,"(Undeveloped)",T-TEXT,9.996769999999879
BC901A,MText,"Twp. 64",D-TXT,13.995477999999872
BC901B,MText,"Twp. 65",D-TXT,13.995477999999872
BC901C,DBText,"17th Baseline",L-ROAD-T,9.996769999999879
BC901D,DBText,"Government Road Allowance",L-ROAD-T,9.996769999999879
BC901E,DBText,"Theor. S.W.1/4 Sec. 6-65-8-W.6M.",C-SYMBOL,19.993539999999758
BC901F,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.994831999999956
BC9021,MText,"Grizzly Bear Secondary Access Management Area Boundary",AS-WILDLIFE-BLOCK,9.99676999999988
BC9023,MText,"Grizzly Bear Core Access Management Area Boundary",AS-WILDLIFE-BLOCK,9.99676999999988
BC9025,AlignedDimension,"CNRL  A/R  022776",C-AR-T,Compass 5 000
BC9026,AlignedDimension,"CNRL  A/R  051732",C-AR-T,Compass 5 000
BC9029,MText,"CNRL 20.00 A/R LOC 170611",C-AR-T,9.996769999999932
BC902B,AlignedDimension,"CNRL  P/L R/W  062 8361  031402",C-RW-T,Compass 5 000
BC902C,AlignedDimension,"CNRL  P/L R/W  022 2073  002731",C-RW-T,Compass 5 000
BC902D,AlignedDimension,"CNRL  P/L R/W  082 1830  032367",C-RW-T,Compass 5 000
BC902E,AlignedDimension,"CNRL  P/L R/W  200483",C-RW-T,Compass 5 000
BC902F,AlignedDimension,"CNRL  P/L R/W  112056",C-RW-T,Compass 5 000
BC9030,AlignedDimension,"CNRL  P/L R/W  082 0159  070038",C-RW-T,Compass 5 000
BC9034,MText,"CNRL 12-6 (Surface) MSL 062715",C-WS-T,9.996769999999884
BC9036,MText,"CNRL 5-6 (Surface) MSL 030533",C-WS-T,9.996769999999884
BC9038,MText,"CNRL 5-6 (Surface) MSL 071245",C-WS-T,9.996769999999884
BC903A,MText,"CNRL Riser Site PIL 110880",C-WS-T,9.996769999999884
BC903D,DBText,"(Undeveloped)",T-TEXT,9.996769999999879
BC91C1,MText,"Old Cutblock 20cm Pine",T-BUSH-T,9.996758099999878
BC91C3,MText,"20cm Pine  & Spruce",T-BUSH-T,9.996769999999911
BC91C5,MText,"15cm Pine",T-BUSH-T,9.996769999999911
BC9A1D,AlignedDimension,"CNRL  P/L R/W  082 1993  044499",C-RW-T,Compass 5 000
BCAB2A,DBText,"Theor. S.E.1/4 Sec. 11-65-9-W.6M.",C-SYMBOL,19.999999999999943
BCAB2B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.999999999999963
