Handle,ObjType,Content,Layer,Extra
AF843D,BlockReference,"L-SECLBL",L-SECLBL,1
AF84A2,BlockReference,"*U53",AS-WILDLIFE-BLOCK,0.9997830000000048
AF84B5,AlignedDimension,"Ember  P/L R/W  062 2266",F-RW,Compass 5 000
AF84D8,MText,"Approximate Location ofChain Lakes Gas Co-op. Ltd.",AS-PIPE-UG-T,10.000000000000007
AF84DC,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000092
AF84DD,DBText,"Government Road Allowance",L-ROAD-T,10.000000000000094
AF84E0,AlignedDimension,"Enhance  A/R",C-AR-T,Compass 5 000
AF84E6,AlignedDimension,"Enhance  Flow Line R/W  7362 PQ",C-FLOWLINE-T,Compass 5 000
AF84EA,AlignedDimension,"Ember  P/L R/W  022 2436",F-RW,Compass 5 000
AF84EB,MText,"Enhance 9-10",C-RW-T,10.000000000000094
AF84F2,AlignedDimension,"Enhance  P/L R/W  2489 RS",C-RW-T,Compass 5 000
AF84F3,AlignedDimension,"Enhance  P/L R/W  952 4821",C-RW-T,Compass 5 000
AF84F5,AlignedDimension,"Enhance  P/L R/W  3209 RS",C-RW-T,Compass 5 000
AF84F6,AlignedDimension,"Enhance  P/L R/W  2780 NY",C-RW-T,Compass 5 000
AF84F7,AlignedDimension,"Enhance  P/L R/W  215 TR",C-RW-T,Compass 5 000
AF84F8,AlignedDimension,"Enhance  P/L R/W  802 1648",C-RW-T,Compass 5 000
AF84F9,AlignedDimension,"Enhance  P/L R/W  3084 NY",C-RW-T,Compass 5 000
AF8501,AlignedDimension,"Ember  P/L R/W  2691 RS",F-RW-T,Compass 5 000
AF8502,AlignedDimension,"Ember  P/L R/W  4242 RS",F-RW-T,Compass 5 000
AF8504,AlignedDimension,"Ember  P/L R/W  3291 RS",F-RW-T,Compass 5 000
AF8506,AlignedDimension,"Ember  P/L R/W  022 0570",F-RW-T,Compass 5 000
AF8507,MText,"Ember 16-10",F-WS-T,9.997830000000073
AF850C,DBText,"(High Grade Gravel)",T-TEXT,10.000000000000092
AF850D,DBText,"(High Grade Gravel)",T-TEXT,10.000000000000094
AF850E,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,10.000000000000094
AF8512,MText,"Buried Telus Cable",AS-TELEPHONE-T,10.000000000000094
AF8529,BlockReference,"*U54",AS-OWNER,1
AF853E,BlockReference,"GAS",F-WS-S,5.000000000000061
AF853F,AlignedDimension,"Ember  A/R",F-WS-S,Compass 5 000
AF8541,AlignedDimension,"Ember  P/L R/W  952 3119",F-WS-S,Compass 5 000
AF8543,AlignedDimension,"Enhance  A/R",C-WS-S,Compass 5 000
AF8544,BlockReference,"GAS",C-WS-S,4.99891500000006
AF8545,BlockReference,"GAS",C-WS-S,4.99891500000006
AF8546,BlockReference,"GAS",C-WS-S,4.99891500000006
AF9A89,BlockReference,"FDI",L-MON,4.998894700000013
AF9A93,BlockReference,"FDI",L-MON,4.998894700000013
AF9AA7,BlockReference,"plspike",L-MON,4.998894700000013
AF9AAC,BlockReference,"plspike",L-MON,4.998894700000013
AF9AB1,BlockReference,"plspike",L-MON,4.998894700000013
AF9AB6,BlockReference,"plspike",L-MON,4.998894700000013
AF9ABB,BlockReference,"WC",L-MON,4.998894700000014
AF9AC0,BlockReference,"plspike",L-MON,4.998894700000013
AF9B8F,BlockReference,"RISER",AS-SYMBOL,5.000000000000027
AF9BA8,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BAD,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BB2,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BC1,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BC6,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BCB,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BD5,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BDA,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
AF9BDF,BlockReference,"POWERPOLE",AS-POWER-EXISTING,4.998894700000013
B04651,DBText,"181°52'40''",L-BD,9.997789400000029
B05F03,BlockReference,"*U79",AS-POWER-EXISTING-ANC,4.998894700000014
B05F1B,BlockReference,"*U80",AS-POWER-EXISTING-ANC,4.998894700000014
B05F33,BlockReference,"*U81",AS-POWER-EXISTING-ANC,4.998894700000014
B05F4B,BlockReference,"*U82",AS-POWER-EXISTING-ANC,4.998894700000014
B067AB,MText,"200m",AUX-BUFFER,9.994368456401041
B07837,MText,"154.4 W. calc.",P-OFFSETS,11.997347280000042
B0783B,MText,"75.0 N. calc.",P-OFFSETS,9.997789400000029
B0783D,MText,"655.8 E. calc.",P-OFFSETS,9.997789400000029
B08096,MText,"730.1 S. calc.",P-OFFSETS,11.997347280000042
B0FD3F,MText,"CLIVE",D-TXT,9.995570490500043
B0FD40,MText,"TEES",D-TXT,9.995570490500043
B0FD41,DBText,"RANGE 24",D-TXT,9.995570490500043
B0FD42,DBText,"RANGE 23",D-TXT,9.995570490500043
B0FD43,DBText,"TOWNSHIP 40",D-TXT,9.995570490500043
B0FD44,DBText,"TOWNSHIP 39",D-TXT,9.995570490500043
B0FD9C,BlockReference,"*U84",ROUTE-MAP-LABELS,0.9997830000000034
B0FDB7,BlockReference,"*U85",ROUTE-MAP-LABELS,0.9997830000000034
B0FDD2,BlockReference,"*U86",ROUTE-MAP-LABELS,0.9997830000000034
B0FDFD,BlockReference,"*U45",L-2,0.9997830000000034
B0FE0B,DBText,"RGE. RD. 243",D-TXT,9.995570490500043
B0FE0C,DBText,"TWP. RD. 402",D-TXT,9.995570490500043
B0FE27,MText,"ACCESS ROUTE MAP",DETAIL-T,19.99566000000016
B0FE54,MText,"Stone Creek",T-WATER-T,9.997830000000071
B116BA,BlockReference,"blk_hwy",AUX-LABELS,5.000000000000021
B116CC,BlockReference,"HWY-SEC",AUX-LABELS,1
B11706,BlockReference,"*U87",CG-NOTES,0.9997881800000035
B1205F,BlockReference,"*U88",ROUTE-MAP-LABELS,1
B128F2,BlockReference,"*U89",ROUTE-MAP-LABELS,0.9997830000000034
B12965,DBText,"RGE. RD. 242",D-TXT,9.995570490500043
B12966,MText,"L.S. 9",L-SECTION-LSD,10.000000000000043
B12968,MText,"L.S. 10",L-SECTION-LSD,10.000000000000043
B1296A,MText,"L.S. 16",L-SECTION-LSD,10.000000000000043
B1296C,MText,"L.S. 15",L-SECTION-LSD,10.000000000000043
B132A4,AlignedDimension,"7.81 A/R",P-TXT,Compass 5 000
B1546C,MText,"Cultivation",T-TEXT,9.995941208651555
B1546E,MText,"Cultivation",T-TEXT,9.995941208651555
B19218,MText,"Fortis 3-Wire  O/H Power Line",AS-POWER,9.994479923387587
B1921E,BlockReference,"xing2",P-CROSSINGS,0.99977894
B19225,BlockReference,"xing2",P-CROSSINGS,0.99977894
B19A77,BlockReference,"xing2",P-CROSSINGS,0.99977894
B1B5B0,AlignedDimension,"Ember  P/L R/W  852 1404",F-RW-T,Compass 5 000
B1B6E7,BlockReference,"NEZD Point",F-RW-T,1
B1C939,MText,"Fd.I. c.s. N.E. 10",L-MON,10.001848941795402
B1C986,BlockReference,"*U93",DETAIL-T,1
B1D270,BlockReference,"*U94",0,1
B1F930,BlockReference,"BH-Existing",ABADATA-DRILL-T,5.000000000000013
B1F931,BlockReference,"BH-Existing",ABADATA-DRILL-T,5.000000000000013
B1F932,BlockReference,"BH-Existing",ABADATA-DRILL-T,5.000000000000013
B1F933,BlockReference,"BH-Existing",ABADATA-DRILL-T,5.000000000000013
B201E4,MText,"Enhance 102/16-10 (HZ)",DETAIL-HZ-Existing,10.003422871203858
B201E6,MText,"Enhance 102/10-10 (DD)",DETAIL-HZ-Existing,10.003422871203858
B201E8,MText,"Enhance 10-10 (DD)",DETAIL-HZ-Existing,10.003422871203858
B201EA,MText,"Enhance 102/9-10 (HZ)",DETAIL-HZ-Existing,10.003422871203858
B202E3,AlignedDimension,"Ember  A/R",F-RW-T,Compass 5 000
B20320,MText,"Enhance 102/8-10(DD)",DETAIL-HZ-Existing,10.003422871203858
B21E5C,MText,"LEGEND ACCESS ROUTE SHOWN THUS: COUNTY BOUNDARY SHOWN THUS:",CG-NOTES,9.997830000000038
B2D7B6,MText,"SEE DETAIL",DETAIL-T,15.996463040000028
B30CCA,DBText,"682.54 (Tie)",L-BD,9.997789400000011
B30CCB,DBText,"10°15'30''",L-BD,9.997789400000011
B30CCD,DBText,"271°48'45''",L-BD,9.997789400000011
