Handle,ObjType,Content,Layer,Extra
BB1B55,BlockReference,"L-SECLBL",L-SECLBL,1
BB1B7F,MText,"L.S. 11",L-SECTION-LSD,9.998609999999998
BB1B81,MText,"L.S. 12",L-SECTION-LSD,9.998609999999998
BB1B83,MText,"L.S. 14",L-SECTION-LSD,9.998609999999998
BB1B84,MText,"L.S. 13",L-SECTION-LSD,9.998609999999998
BB1B94,MText,"Government Road Allowance",L-ROAD-T,9.998609999999998
BB1B95,BlockReference,"*U47",AS-WILDLIFE-BLOCK,1
BB1BA4,MText,"Approximate Location of  ATCO Natural Gas Distribution  Customer Correspondence",AS-PIPE-UG-T,9.998609999999998
BB1BAC,MText,"Vesta 14-14",C-WS-T,9.998609999999998
BB1BAE,MText,"Lot 1 Block 1 Plan 092 2482",L-TITLEDB-T,9.999999999999996
BB1BB0,MText,"C. of T.",L-TITLEDB-T,9.998609999999998
BB1BB1,MText,"C. of T.",L-TITLEDB-T,9.998609999999998
BB1BB2,MText,"C. of T. Boundary",L-TITLEDB-T,9.998609999999998
BB1BB4,MText,"Fortis O/H Power Line",AS-POWER-T,9.998609999999998
BB1BB6,MText,"Buried Telus Cable",AS-TELEPHONE-T,9.998609999999998
BB1BB7,BlockReference,"*U46",AS-OWNER,1
BB1BCD,BlockReference,"res_occ",AS-RESIDENCE,4.999304999999999
BB1BD0,BlockReference,"res_occ",AS-RESIDENCE,4.999304999999999
BB1BD1,MText,"Residence",AS-RESIDENCE,9.999999999999998
BB1BD2,MText,"Residence",AS-RESIDENCE,9.999999999999998
BB1BD3,MText,"Residence",AS-RESIDENCE,9.999999999999998
BB1BD4,MText,"Residence",AS-RESIDENCE,9.999999999999998
BB1BD5,MText,"Residence",AS-RESIDENCE,9.999999999999998
BB1BDC,MText,"Abel Corporation",AS-RESIDENCE,9.999999999999998
BB223D,BlockReference,"FDI",L-MON,5
BB2242,BlockReference,"FDI",L-MON,5
BB2247,BlockReference,"GAS",F-WS-S,5
BB224C,BlockReference,"fdspike",L-MON,5
BB2251,BlockReference,"fdspike",L-MON,5
BB2256,BlockReference,"fdspike",L-MON,5
BB225B,BlockReference,"plspike",L-MON,5
BB2260,BlockReference,"plspike",L-MON,5
BB2265,BlockReference,"plspike",L-MON,5
BB226A,BlockReference,"fdspike",L-MON,5
BB2274,BlockReference,"plspike",L-MON,5
BB4077,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
BB4088,BlockReference,"POWERPOLE",AS-POWER-EXISTING,5
BB5BCD,MText,"Low Area (Dry)",T-TEXT,9.9986427
BB89F1,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9986427
BB89F2,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9986427
BB89F3,DBText,"Pasture",T-TEXT,9.9986427
BB89F4,DBText,"Pasture",T-TEXT,9.9986427
BB89F5,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9986427
BBD455,DBText,"2°",L-BD,9.9986427
BC2A6B,MText,"5.0x120.0 Workspace",P-TEMP-T,9.9986427
BC2A80,MText,"10.0x137.3 Workspace",P-TEMP-T,9.9986427
BC2A93,MText,"20.0x212.0 Workspace (=0.464 ha)",P-TEMP-T,9.9986427
BC2F1C,DBText,"N.W.1/4 Sec. 14-41-26-W.4M.",C-SYMBOL,19.9972854
BC2F1F,MText,"Well Site = 1.124 ha  2.78 Ac. Access Road = 0.930 ha  2.30 Ac. Workspace = 0.661 ha  1.63 Ac.",L-AREAREQUIRED,10.99850697
BC33BA,DBText,"30''",L-BD,9.9986427
BC33BB,DBText,"07'",L-BD,9.9986427
BC33BC,DBText,"20.12 calc.",P-TXT,9.9986427
BC3A10,AlignedDimension,"15.00 A/R",P-TXT,Compass 5 000
BC3A3B,DBText,"92°23'50''",L-BD1,9.9986427
BC3A52,MText,"143°44'35'' 69.29",L-BD1,9.9986427
BC3EDE,MText,"125°26'35'' 67.97",L-BD1,9.9986427
BC3EF7,MText,"30cm Poplar & Spruce",T-BUSH-T,9.9986427
BC3EFE,MText,"20.0x212.0 Workspace (=0.464 ha)",P-TEMP-T,9.9986427
BC409A,MText,"10.0x137.3 Workspace",P-TEMP-T,9.9986427
BC4D73,MText,"Vesta 14-14",C-WS-T,9.9986427
BC4D78,BlockReference,"GAS",F-WS-S,4.99932135
