Handle,ObjType,Content,Layer,Extra
BD4745,BlockReference,"L-SECLBL",L-SECLBL,1
BDA08F,AlignedDimension,"30.00 Service Road  131 1497",L-TITLEDB,Compass 5 000
BDA0D2,MText,"Hwy. 27",L-TITLEDB,9.99999999999999
BDA0D3,MText,"Road  Plan 841 0629",L-TITLEDB,9.99999999999999
BDA0D4,MText,"Road  Plan 4261 HX",L-TITLEDB,9.99999999999999
BDBAEB,AlignedDimension,"50.00 Road  831 1206",L-TITLEDB-T,Compass 5 000
BDBB09,AlignedDimension,"Telus  Cable R/W  941 1337",F-RW-T,Compass 5 000
BDBB3A,MText,"Lot 1 Plan 001 0489",L-TITLEDB,9.99999999999999
BDC6BA,AlignedDimension,"Fortis  Transmission Line R/W  RW 562 GG",F-RW,Compass 5 000
BDD313,MText,"C. of T.",L-TITLEDB,9.99999999999999
BDD32B,BlockReference,"*U26",L-TITLEDB-T,1
BDDCC4,MText,"Hwy. 22",L-TITLEDB,9.99999999999999
BDDD43,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999995
BDDD44,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999995
BDDD46,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999995
BDDD47,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999995
BDEFE5,MText,"Buried Telus Cable",AS-TELUS,9.99999999999999
BDFA5A,MText,"Fortis O/H Power Line",AS-POWER,9.99999999999999
BDFA5B,MText,"Approximate Location of Foothills Natural Gas Co-op. Ltd.",AS-PIPE-UG,9.99999999999999
BDFA5C,MText,"Residence",AS-RESIDENCE,9.99999999999999
BDFA5D,MText,"Residence",AS-RESIDENCE,9.99999999999999
BDFA5E,MText,"Residence",AS-RESIDENCE,9.99999999999999
BDFA60,MText,"Residence",AS-RESIDENCE,9.99999999999999
BE03B4,AlignedDimension,"Loyal  P/L R/W  841 0918",C-RW-T,Compass 5 000
BE03F1,AlignedDimension,"20.12 Water Line R/W  1753 LK",F-RW,Compass 5 000
BE042A,BlockReference,"L-SECLBL",L-SECLBL,1
BE2A77,BlockReference,"res_occ",AS-RESIDENCE,4.999999999999995
BE328A,DBText,"N.W.1/4 Sec. 27-32-4-W.5M.",C-SYMBOL,19.99999999999998
BE4C14,DBText,"Lot 1, Block 1, Plan 131 1323",C-SYMBOL,19.99999999999998
BE4C16,DBText,"Lot 2, Block 1, Plan 131 1323",C-SYMBOL,19.99999999999998
BE4C17,MText,"Fortis O/H Power Line",AS-POWER,9.99999999999999
BE4C18,MText,"Buried Telus Cable",AS-TELUS,9.99999999999999
BE4C19,AlignedDimension,"50.00 Road  831 1206",L-TITLEDB-T,Compass 5 000
BE540F,MText,"Residence",AS-RESIDENCE,9.99999999999999
BE5414,BlockReference,"TEMP",L-MON,4.99898
BE5416,BlockReference,"TEMP",L-MON,4.99898
BE5466,AlignedDimension,"15.24 A/R",P-TXT,Compass 5 000
BE6514,MText,"Well Site = 0.019 ha  0.05 Ac.",L-AREAREQUIRED,9.997959999999996
BE6518,MText,"Well Site = 1.467 ha  3.62 Ac.",L-AREAREQUIRED,9.997959999999996
BE6519,MText,"Access Road = 0.213 ha  0.53 Ac.",L-AREAREQUIRED,9.997959999999996
BE651A,MText,"Access Road = 0.241 ha  0.60 Ac.",L-AREAREQUIRED,9.997959999999996
BE6CEA,BlockReference,"A$C4D14367F",AS-DRILL-T,4.998979999999998
BE6CEB,MText,"11-27 (Abd.)",AS-DRILL-T,9.99999999999999
BE6CEE,BlockReference,"A$C4D14367F",AS-DRILL-T,4.998979999999998
BE6CEF,MText,"3-34 (Abd.)",AS-DRILL-T,9.99999999999999
BE9784,BlockReference,"*U32",AS-OWNER,1
BE9FE2,BlockReference,"*U38",AS-OWNER,1
BEA01E,BlockReference,"*U33",AS-OWNER,1
BEA08D,BlockReference,"*U36",CG-NOTES,1
BEA89A,AlignedDimension,"Mountain View County  Utility R/W  131 111 491",F-EZE-T,Compass 5 000
BEB99A,AlignedDimension,"Fortis  Utility R/W  851 106 535",F-EZE-T,Compass 5 000
BEDE66,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999995
BEDE67,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999995
BEDE68,DBText,"(High Grade Gravel)",T-TEXT,9.999999999999995
BEDE69,DBText,"Government Road Allowance",L-ROAD-T,9.999999999999995
BEE65C,DBText,"L.S. 13",L-SECTION-LSD,9.999999999999995
BEE65D,DBText,"L.S. 14",L-SECTION-LSD,9.999999999999995
BEE65E,DBText,"L.S. 12",L-SECTION-LSD,9.999999999999995
BEE65F,DBText,"L.S. 11",L-SECTION-LSD,9.999999999999995
BEE660,DBText,"L.S. 5",L-SECTION-LSD,9.999999999999995
BEE661,DBText,"L.S. 6",L-SECTION-LSD,9.999999999999995
BEE662,DBText,"L.S. 4",L-SECTION-LSD,9.999999999999995
BEE663,DBText,"L.S. 3",L-SECTION-LSD,9.999999999999995
BF021E,BlockReference,"TEMP",L-MON,4.99898
BF0653,BlockReference,"TEMP",L-MON,4.99898
BF0654,BlockReference,"TEMP",L-MON,4.99898
BF0655,BlockReference,"TEMP",L-MON,4.99898
BF0656,BlockReference,"TEMP",L-MON,4.99898
BF0657,BlockReference,"TEMP",L-MON,4.99898
