Handle,ObjType,Content,Layer,Extra
AF2F9E,BlockReference,"L-SECLBL",L-SECLBL,0.99954047
AF2FB1,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.99540469999993
AF2FB8,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995404699999929
AF2FB9,MText,"L.S. 3",L-SECTION-LSD,9.99540469999993
AF2FBB,MText,"L.S. 4",L-SECTION-LSD,9.99540469999993
AF2FBD,MText,"L.S. 6",L-SECTION-LSD,9.99540469999993
AF2FBF,MText,"L.S. 5",L-SECTION-LSD,9.99540469999993
AF2FC1,MText,"L.S. 11",L-SECTION-LSD,9.99540469999993
AF2FC3,MText,"L.S. 12",L-SECTION-LSD,9.99540469999993
AF2FC5,MText,"L.S. 14",L-SECTION-LSD,9.99540469999993
AF2FC6,MText,"L.S. 13",L-SECTION-LSD,9.99540469999993
AF31BE,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.995404699999929
AF323D,MText,"Theor. N.W.1/4 Sec. 10 64-2-W.6M.",C-SYMBOL,19.99080939999986
AF324B,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992647519999915
AF324D,MText,"Theor. S.W.1/4 Sec. 10 64-2-W.6M.",C-SYMBOL,19.99080939999986
AF324E,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.992647519999915
AF3A70,AlignedDimension,"Whitecap  A/R  200168",F-AR-T,Compass 5 000
AF3B29,MText,"PGI 15.00 A/R LOC 210120",F-AR-T,9.995404699999936
AF3B2A,AlignedDimension,"CNRL  A/R  781305",F-AR-T,Compass 5 000
AF3B94,MText,"Veren 5-10 (Surface) MSL 160988",C-WS-T,9.995404699999936
AF3C93,MText,"CNRL 6-10 (Surface) MSL 810887",F-WS-T,9.995404699999936
AF3C95,MText,"Whitecap Riser Site PIL 200045",F-WS-T,9.995404699999936
AF468F,AlignedDimension,"Whitecap  P/L R/W  220283",F-RW-T,Compass 5 000
AF46D2,AlignedDimension,"CNRL  P/L R/W  822 2777  820403",F-RW-T,Compass 5 000
AF46EE,AlignedDimension,"CNRL  P/L R/W  032 3049  982529",F-RW-T,Compass 5 000
AF4855,AlignedDimension,"CNRL  A/R  840195",F-AR-T,Compass 5 000
AF487D,AlignedDimension,"CNRL  P/L R/W  180483",F-RW-T,Compass 5 000
AF48D6,AlignedDimension,"PGI  P/L R/W  190334",F-RW-T,Compass 5 000
AF49DC,AlignedDimension,"CNRL  P/L R/W  892 0674  890210",F-RW-T,Compass 5 000
AF4A08,AlignedDimension,"CNRL  P/L R/W  032 3049  982529",F-RW-T,Compass 5 000
AF4B37,AlignedDimension,"CNRL  P/L R/W  042 1607  991911",F-RW-T,Compass 5 000
AF5CDF,BlockReference,"RISER",AS-SYMBOL,4.997702349999973
AF5CEC,BlockReference,"RISER",AS-SYMBOL,4.997702349999973
AF5D15,BlockReference,"RISER",AS-SYMBOL,4.997702349999973
AF5D22,BlockReference,"RISER",AS-SYMBOL,4.997702349999973
AF5E13,BlockReference,"GAS",C-WS-S,4.997702349999973
AF5E14,BlockReference,"GAS",C-WS-S,4.997702349999973
AF5E15,BlockReference,"GAS",C-WS-S,4.997702349999973
AF5E16,BlockReference,"GAS",C-WS-S,4.997702349999973
AF5E17,BlockReference,"GAS",C-WS-S,4.997702349999973
