Handle,ObjType,Content,Layer,Extra
BD31E1,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31E2,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31E3,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD31E4,DBText,"(NUVISTA)",C-RW-T,9.500000000000012
BD31E5,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31E6,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31E7,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31E8,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31EB,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31EC,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31ED,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD31EE,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31EF,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31F0,DBText,"(NUVISTA)",C-RW-T,9.500000000000012
BD31F2,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD31F4,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD31F5,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31F9,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31FA,DBText,"(KEYERA)",F-RW-T,9.500000000000012
BD31FB,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31FC,DBText,"(KEYERA)",F-RW-T,9.500000000000012
BD31FD,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31FE,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD31FF,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3200,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD3201,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3202,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3203,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3204,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD3207,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD320A,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD320B,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD320C,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD3210,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD3212,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3213,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3214,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD3215,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3218,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD321B,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD321E,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD321F,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3220,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3223,DBText,"(NUVISTA)",C-RW-T,9.500000000000012
BD3226,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD3227,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3228,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3229,DBText,"(NUVISTA)",C-RW-T,9.500000000000012
BD322A,DBText,"(CNRL) PLA 820402",F-RW-T,9.500000000000014
BD322B,DBText,"(NUVISTA)",C-RW-T,9.500000000000014
BD322C,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD322E,DBText,"(CNRL)",F-RW-T,9.500000000000012
BD3230,DBText,"(CNRL) PLA 820402",F-RW-T,9.500000000000012
BD3231,DBText,"(ATCO ELECTRIC) EZE 2998",F-EZE-T,9.49999999999997
BD3232,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000014
BD3233,DBText,"(KEYERA)",F-RW-T,9.500000000000014
BD3234,DBText,"(CNRL)",F-RW-T,9.500000000000014
BD3235,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000012
BD3236,DBText,"(CNRL)",F-WS-T,7.35000000000001
BD3237,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000012
BD3238,DBText,"(CNRL) PLA 052234",F-RW,9.500000000000014
BD3239,DBText,"(PARAMOUNT)",F-RW-T,9.499999999999988
BD323A,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000012
BD323B,DBText,"(PARAMOUNT)",F-RW-T,9.500000000000012
BD323C,DBText,"(ARC)",F-RW-T,9.500000000000012
BD323D,DBText,"(ATCO ELECTRIC) EZE 2998",F-EZE-T,9.49999999999997
BD323E,DBText,"(CNRL) PLA 820402",F-RW-T,9.500000000000012
BD323F,DBText,"(ARC)",F-RW-T,9.500000000000012
BD3246,DBText,"(CNRL)",F-RW-T,9.500000000000012
BD3247,DBText,"(ARC)",F-RW-T,9.500000000000012
BD3248,DBText,"(ATCO ELECTRIC) EZE 2998",F-EZE-T,9.49999999999997
BD3258,DBText,"CNRL",F-WS-T,7.35000000000001
BD325A,DBText,"NUVISTA",C-WS-T,7.35000000000001
BD325C,DBText,"CNRL",F-WS-T,7.350000000000009
BD3262,DBText,"20.00 P/L R/W",C-RW-T,9.500000000000014
BD3263,DBText,"PLA 150900",C-RW-T,9.500000000000014
BD3264,DBText,"20.00 P/L R/W",C-RW-T,9.500000000000014
BD3265,DBText,"PLA 131485",C-RW-T,9.500000000000014
BD3266,DBText,"20.00 P/L R/W",F-RW-T,9.500000000000014
BD3267,DBText,"PLA 131090",F-RW-T,9.500000000000014
BD3268,DBText,"15.00 P/L R/W",C-RW-T,9.500000000000012
BD3269,DBText,"PLA 130030",C-RW-T,9.500000000000012
BD326C,DBText,"20.00 ACCESS ROAD",C-AR-T,7.35000000000001
BD326D,DBText,"(NUVISTA) LOC 140228",C-AR-T,7.35000000000001
BD326E,DBText,"11.00 P/L R/W",C-RW-T,9.500000000000014
BD326F,DBText,"20.00 ACCESS ROAD",C-AR-T,7.35000000000001
BD3270,DBText,"(NUVISTA) LOC 090577",C-AR-T,7.35000000000001
BD3271,DBText,"25.00 P/L R/W",C-RW-T,9.500000000000014
BD3272,DBText,"PLA 130030",C-RW-T,9.500000000000014
BD3273,DBText,"20.00 P/L R/W",C-RW-T,9.500000000000014
BD3274,DBText,"PLA 170241",C-RW-T,9.500000000000014
BD3275,DBText,"NUVISTA",C-WS-T,7.35000000000001
BD3277,DBText,"45.72 ACCESS ROAD",F-AR-T,7.3500000000000085
BD3278,DBText,"(WEYERHAEUSER) DLO 4508",F-AR-T,7.3500000000000085
BD327B,DBText,"20.00 ACCESS ROAD",C-AR-T,7.35000000000001
BD327C,DBText,"(NUVISTA) LOC 020301",C-AR-T,7.35000000000001
BD327F,DBText,"(NUVISTA)",C-WS-T,7.35000000000001
BD3282,DBText,"COMPRESSOR SITE",C-WS-T,7.35000000000001
BD3285,DBText,"15.00 P/L R/W",C-RW-T,9.500000000000014
BD3288,DBText,"PLA 240736",C-RW-T,9.500000000000014
BD328B,DBText,"(NUVISTA)",C-WS-T,7.35000000000001
BD328C,DBText,"MLL 130077",C-WS-T,7.35000000000001
BD328D,DBText,"MSL 140253",C-WS-T,7.35000000000001
BD328E,DBText,"10.00 ACCESS ROAD",C-AR-T,7.35000000000001
BD328F,DBText,"(NUVISTA) LOC 230701",C-AR-T,7.35000000000001
BD3292,DBText,"MLL 130077",C-WS-T,7.35000000000001
BD3295,DBText,"(EXPIRED)",C-WS-T,7.35000000000001
BD3298,DBText,"(EXPIRED)",C-WS-T,7.35000000000001
BD3299,DBText,"20.00 P/L R/W",C-RW-T,9.500000000000014
BD329A,DBText,"PLA 150900",C-RW-T,9.500000000000014
BD329B,DBText,"20.00 P/L R/W",C-RW-T,9.500000000000014
BD329C,DBText,"PLA 131485",C-RW-T,9.500000000000014
BD329D,DBText,"20.00 P/L R/W",F-RW-T,9.500000000000014
BD329E,DBText,"PLA 131090",F-RW-T,9.500000000000014
BD329F,DBText,"15.00 P/L R/W",C-RW-T,9.500000000000014
BD32A0,DBText,"PLA 130030",C-RW-T,9.500000000000014
BD32A1,DBText,"20.00 ACCESS ROAD",C-AR-T,7.3500000000000085
BD32A2,DBText,"(NUVISTA) LOC 020301",C-AR-T,7.3500000000000085
BD32A3,DBText,"15.00 P/L R/W",F-RW-T,9.500000000000014
BD32A4,DBText,"PLA 992334",F-RW-T,9.500000000000014
BD32A5,DBText,"10.00 P/L R/W",C-RW-T,9.500000000000012
BD32A6,DBText,"PLA 141386",C-RW-T,9.500000000000012
BD32A7,DBText,"NUVISTA",C-WS-T,7.350000000000009
