Handle,ObjType,Content,Layer,Extra
BD794B,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD794E,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7951,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7954,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7957,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD795D,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7960,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7963,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7969,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7972,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD797B,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD797E,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7987,DBText,"20.12 GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7988,DBText,"20.12 GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD798C,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD798F,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7990,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7991,DBText,"30.18 THEORETICAL GOVERNMENT ROAD ALLOWANCE",CORRIDOR-ID,9.5
BD7997,DBText,"(PEMBINA)",C-RW-T,9.5
BD7998,DBText,"(NUVISTA)",C-RW-T,9.5
BD799A,DBText,"(KEYERA)",C-RW-T,9.5
BD799C,DBText,"(PEMBINA) PLA 790374",C-RW-T,9.5
BD799D,DBText,"(KEYERA)",C-RW-T,9.5
BD799E,DBText,"(NUVISTA)",C-RW-T,9.49999999999997
BD79A0,DBText,"(NUVISTA)",C-RW-T,9.5
BD79A1,DBText,"(PGI)",C-RW-T,9.5
BD79A3,DBText,"(PEMBINA)",C-RW-T,9.499999999999972
BD79A6,DBText,"(SINOPEC)",C-RW-T,9.500000000000002
BD79A7,DBText,"(PGI)",C-RW-T,9.5
BD79AA,DBText,"(PEMBINA)",C-RW-T,9.5
BD79B3,DBText,"(NUVISTA)",C-RW-T,9.5
BD79B4,DBText,"(SINOPEC)",C-RW-T,9.500000000000002
BD79B5,DBText,"(PGI)",C-RW-T,9.5
BD79B8,DBText,"(NUVISTA)",C-RW-T,9.499999999999972
BD79B9,DBText,"(NUVISTA)",C-RW-T,9.5
BD79BA,DBText,"(SINOPEC)",C-RW-T,9.5
BD79CB,DBText,"(NUVISTA)",C-RW-T,9.5
BD79CC,DBText,"(KEYERA)",C-RW-T,9.500000000000002
BD79CD,DBText,"(PEMBINA) PLA 790374",C-RW-T,9.500000000000002
BD79CF,DBText,"(PEMBINA)",C-RW-T,9.500000000000002
BD79D0,DBText,"(NUVISTA)",C-RW-T,9.500000000000002
BD79D2,DBText,"(KEYERA)",C-RW-T,9.49999999999997
BD79D3,DBText,"(KEYERA)",C-RW-T,9.49999999999997
BD79D4,DBText,"(KEYERA)",C-RW-T,9.500000000000002
