Handle,ObjType,Content,Layer,Extra
BE0DBA,BlockReference,"RISER",AS-SYMBOL,5.000000000000091
BE2EEC,MText,"Break Line",T-TEXT,9.998030600000176
BE36C8,MText,"Beaver Dams",T-TEXT,9.998030600000176
BE36CA,MText,"Flood Area",T-WATER-T,9.998030600000176
BE3703,MText,"Culvert",T-TEXT,9.998030600000176
BE3EDF,MText,"Flood Area",T-WATER-T,9.998030600000176
BE479F,MText,"Beaver Dam",T-TEXT,9.998030600000176
BE47A5,MText,"Break Line",T-TEXT,9.998030600000174
BE577D,MText,"Small Permanent Creek 1.0 Wide, 0.5 deep",T-WATER-T,9.998030600000176
BE577F,MText,"Small Permanent Creek",T-WATER-T,9.998030600000176
BE5F62,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BE5F63,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BE6828,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BE7A2A,MText,"30cm Poplar  & Spruce",T-BUSH-T,9.998030600000176
BE7A2B,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000176
BE7A2C,MText,"25cm Poplar  & Spruce",T-BUSH-T,9.998030600000176
BE8216,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEA271,MText,"Break Line",T-TEXT,9.998030600000176
BEAA48,MText,"Intermittent Creek 1.0 Wide, 0.4 Deep",T-CREEK,9.998030600000176
BED28E,MText,"8m High Grade Gravel Road",T-TEXT,9.998030600000176
BEDA68,MText,"Old Borrow Pit",T-TEXT,9.998030600000176
BEDA6B,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEE242,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEE249,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEE24A,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEEA26,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BEEA27,BlockReference,"RISER",AS-SYMBOL,4.999015300000088
BF0A84,MText,"7m High Grade Gravel Road",T-TEXT,9.998030600000176
BF770A,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999932
BF770B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.999999999999932
BF777A,MText,"UNSURVEYED TERRITORY",L-UNS-T,15.996894720000066
BF777D,BlockReference,"L-SECLBL",L-SECLBL,0.9998059200000101
BF7783,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.998059200000071
BF7785,MText,"Twp. 75",D-TXT,13.997282880000062
BF7786,DBText,"Twp. 76",D-TXT,13.997282880000062
BF77C9,MText,"TPA 2706",AS-TRAPPER BOUNDARY,10.000000000000133
BF77CA,MText,"TPA 2245",AS-TRAPPER BOUNDARY,10.000000000000133
BF77CD,MText,"TPA 2706",AS-TRAPPER BOUNDARY,10.000000000000133
BF77CE,MText,"TPA 2559",AS-TRAPPER BOUNDARY,10.000000000000133
BF83ED,AlignedDimension,"CNRL  A/R  981306",C-AR-T,Compass 5 000
