Handle,ObjType,TextString,Layer,TextHeight
BA5A5A,MText,"100m",AUX-BUFFER,9.996758099999969
BA5A5C,MText,"200m",AUX-BUFFER,9.996758099999969
BA5A67,MText,"\pxqc;CNRL\P3-7 (Surface)\PMSL 023828",C-WS-T,9.996758099999969
BA5A7C,MText,"\pxql;L.S. 3",L-SECTION-LSD,9.996758099999969
BA5A7E,MText,"\pxqr;L.S. 4",L-SECTION-LSD,9.996758099999969
BA5A80,MText,"\pxql;L.S. 6",L-SECTION-LSD,9.996758099999969
BA5A82,MText,"\pxqr;L.S. 5",L-SECTION-LSD,9.996758099999969
BA5A84,MText,"\pxql;L.S. 3",L-SECTION-LSD,9.996758099999969
BA5A86,MText,"\pxqr;L.S. 4",L-SECTION-LSD,9.996758099999969
BA5A88,MText,"\pxql;L.S. 6",L-SECTION-LSD,9.996758099999969
BA5A8A,MText,"\pxqr;L.S. 5",L-SECTION-LSD,9.996758099999969
BA5A8C,MText,"\pxql;L.S. 11",L-SECTION-LSD,9.996758099999969
BA5A8E,MText,"\pxqr;L.S. 12",L-SECTION-LSD,9.996758099999969
BA5A95,MText,"L.S. 1",L-SECTION-LSD,9.996758099999969
BA5A96,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.996758099999969
BA5A98,MText,"L.S. 8",L-SECTION-LSD,9.996758099999969
BA5A99,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.996758099999969
BA62D4,DBText,"Theor. S.W.1/4 Sec. 6-65-8-W.6M.",C-SYMBOL,19.993516199999938
BA62E2,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.994812959999937
BA62E4,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.994812959999937
BA62E6,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.994812959999937
BA62E8,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.994812959999937
BA72E8,MText,"\pxqc;CNRL\PRiser Site\PPlan 022 2188",C-WS-T,9.996758099999969
BA7335,MText,"\pxqc;CNRL\P14-6 (Surface)\PMSL 042624",C-WS-T,9.996758099999969
BA7336,MText,"\pxqc;CNRL\PRiser Site\PPIL 040557",C-WS-T,9.996758099999969
BA7B3B,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996758100000008
BA7B3C,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.996758100000008
BA7B3D,MText,"Rge. 9",D-TXT,13.995461339999974
BA7B3E,MText,"Rge. 8",D-TXT,13.995461339999974
