Handle,ObjType,TextString,Layer,TextHeight
AF3933,MText,"L.S. 1",L-SECTION-LSD,9.995641099999844
AF3934,MText,"\pxqr;L.S. 2",L-SECTION-LSD,9.995641099999844
AF3936,MText,"L.S. 8",L-SECTION-LSD,9.995641099999844
AF3937,MText,"\pxqr;L.S. 7",L-SECTION-LSD,9.995641099999844
AF3939,MText,"\pxql;L.S. 9",L-SECTION-LSD,9.995641099999844
AF393B,MText,"\pxqr;L.S. 10",L-SECTION-LSD,9.995641099999844
AF393D,MText,"\pxql;L.S. 16",L-SECTION-LSD,9.995641099999844
AF393F,MText,"\pxqr;L.S. 15",L-SECTION-LSD,9.995641099999844
AF3942,DBText,"Theoretic Government Road Allowance",L-ROAD-T,9.995641099999844
AF3B37,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Smoky River Break Line}",T-GENERAL,9.995641099999844
AF4ECE,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipe}",AS-PIPE-UG-T,9.995641099999848
AF4EE0,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral\PDraw\P1.0m Wide}",T-WATER-T,9.995508000857768
AF4FC4,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral\PDraw}",T-WATER-T,9.995100485027908
AF4FD1,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;15cm Spruce, \PBirch & \PBlack Spruce}",T-BUSH-T,9.995641099999746
AF4FD3,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;20cm Black \PSpruce & Pine}",T-BUSH-T,9.995641099999746
AF4FDF,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Cutblock}",T-GENERAL,9.995641099999746
AF4FE1,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Pine & Poplar\P(1m Tall)}",T-BUSH-T,9.995641099999746
AF5410,MText,"{\fArial Narrow|b0|i1|c0|p34;102}",T-TIE-T,9.995641099999848
AF5412,MText,"{\fArial Narrow|b0|i1|c0|p34;100}",T-TIE,9.995641099999848
AF542B,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Ephemeral Draw}",T-WATER-T,9.99565851019135
AF542D,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Intermittent Creek}",T-WATER-T,9.99565851019135
AF5678,MText,"Theor. N.E.1/4 \PSec. 27-64-3-W.6M.",C-SYMBOL,19.991282199999695
