Handle,ObjType,TextString,Layer,TextHeight
BEE1D8,DBText,"Theor. N.W.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1D9,DBText,"Theor. S.W.1/4 Sec. 36-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DB,DBText,"Theor. N.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DC,DBText,"Theor. S.E.1/4 Sec. 35-65-3-W.6M.",C-SYMBOL,19.999999999999318
BEE1DE,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E0,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E2,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E4,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BEE1E6,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BF5EBC,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5EBD,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5F98,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipe (3)}",AS-PIPE-UG,9.990429872970768
BF5F9B,MText,"Rge. 3",D-TXT,13.993889979999507
BF5F9C,MText,"Rge. 2",D-TXT,13.993889979999507
BF5F9D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5FA3,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF5FA6,MText,"Twp. 65",D-TXT,13.993889979999507
BF5FA7,MText,"Twp. 66",D-TXT,13.993889979999507
BF600F,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF6011,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF6018,DBText,"Theor. S.E.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.99127139999936
BF601F,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
BF6026,MText,"Rge. 3",D-TXT,13.993889979999507
BF6027,MText,"Rge. 2",D-TXT,13.993889979999507
BF6029,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Buried Pipes(2)}",AS-PIPE-UG,9.990429872970768
BF607A,DBText,"Theor. N.E.1/4 Sec. 25-65-3-W.6M.",C-SYMBOL,19.999999999999318
BF673E,MText,"\pxqr;Fd.I.",L-MON-T,9.99563569999978
BF6B90,MText,"\pxql;Fd.I.\PMp.",L-MON-T,9.99563569999978
BF6B92,MText,"\pxql;Fd.I.\PMp.",L-MON-T,9.99563569999978
BF788D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
BF8509,MText,"\pxqr;Fd.I.\PMp.",L-MON-T,9.99563569999978
BF851A,MText,"\pxqr;Fd.I.",L-MON-T,9.99563569999978
BF881C,MText,"\pxqc;SEE\PDETAIL\P'A'",DETAIL-T,15.984687796753285
BF881E,MText,"\pxqc;DETAIL 'A'\P{\H0.7x;SCALE 1:1000}",DETAIL-T,19.98456872652436
BFB718,DBText,"931.18",L-BD1,9.999999999999776
BFB719,DBText,"323°13'30"",L-BD1,9.999999999999776
BFB71A,DBText,"294.94",L-BD1,9.999999999999776
BFB71B,DBText,"323°22'10"",L-BD1,9.999999999999776
BFC12D,DBText,"70.95",L-BD,9.999999999999776
BFC12E,DBText,"143°",L-BD,9.999999999999776
BFC143,DBText,"427.00",L-BD,9.999999999999782
BFC144,DBText,"321°41'45''",L-BD,9.999999999999782
BFC662,MText,"\A1;Keyera\P10.00 A/R\PLOC 140731",F-AR-T,9.999999999999659
BFC669,MText,"\A1;CanFor\PVariable Width A/R\PDLO 150168",F-AR-T,9.999999999999659
BFC675,MText,"\A1;NGTL\P10.00 A/R\PDLO 220163",F-AR-T,9.999999999999659
BFC735,MText,"\A1;Pembina\P15.00 P/L R/W\PPLA 230936",F-RW-T,9.999999999999659
BFC803,MText,"\A1;CNRL\PRiser Site\PPIL 980149\P(Expired)",F-WS-T,9.999999999999659
BFC814,MText,"\A1;NGTL\PValve Site\PDPI 190036",F-WS-T,9.999999999999659
BFC818,MText,"\A1;Cenovus\PRiser Site\PPIL 170133\P(Expired)",F-WS-T,9.999999999999659
BFC819,MText,"\A1;Keyera\PRiser Site\PPIL 140031",F-WS-T,9.999999999999659
BFC81A,MText,"\A1;PGI\PRiser Site\PPIL 200191",F-WS-T,9.999999999999659
BFC81B,MText,"\A1;PGI\PRiser Site\PPIL 200193",F-WS-T,9.999999999999659
BFC81C,MText,"\A1;Cenovus\P5-36 (Surface)\PMSL 160870",F-WS-T,9.999999999999659
BFC81D,MText,"\A1;CanFor\PCLR980436",F-WS-T,9.999999999999659
BFC82E,MText,"\A1;CNRL\PRiser Site\PPIL 980149\P(Expired)",F-WS-T,8.996072129999783
BFC833,MText,"\A1;CNRL\P2-25 (Surface)\PMSL 230287",F-WS-T,9.999999999999659
BFC8BB,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10m High Grade Gravel Road}",T-TEXT,8.991386885673773
BFC8BD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10m High Grade Gravel Road}",T-TEXT,8.991386885673773
BFC8C6,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;10m High Grade Gravel Road}",T-TEXT,8.991386885673773
BFC8C8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;4m Low Grade Gravel Road}",T-TEXT,8.991386885673773
BFC8CB,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Top of Ditch}",T-TEXT,8.991386885673773
BFC8CD,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Bottom of Ditch}",T-TEXT,8.991386885673773
BFC8CF,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Bottom of Ditch}",T-TEXT,8.991386885673773
BFC8D8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Culvert}",T-TEXT,8.991386885673773
BFC8DA,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Gate}",T-TEXT,8.991386885673773
BFC8E2,DBText,"Muskeg",T-TEXT,9.995635699999674
BFC8E6,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing \PHole}",T-TEXT,9.990345509805483
BFC8E8,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing \PHole}",T-TEXT,9.990345509805483
BFC993,MText,"40cm Spruce, Poplar &  \PScattered Willow  ",T-BUSH-T,9.995635699999664
BFC994,MText,"40cm Spruce & 30cm Poplar ",T-BUSH-T,9.995635699999664
BFC995,MText,"\P15cm Spruce ",T-BUSH-T,9.995635699999664
BFC996,MText,"40cm Spruce, Poplar &  \PScattered Willow  ",T-BUSH-T,9.995635699999664
BFC997,MText,"40cm Spruce, Poplar &  \PScattered Willow  ",T-BUSH-T,9.995635699999664
BFC99E,MText,"30cm Willows & \PScattered Poplar  ",T-BUSH-T,9.995635699999664
BFC9A0,MText,"40cm Spruce, Poplar &  \PScattered Willow  ",T-BUSH-T,9.995635699999664
BFC9A1,MText,"40cm Spruce, Poplar &  \PScattered Willow  ",T-BUSH-T,9.995635699999664
BFC9A4,MText,"30cm Willows & \PScattered Poplar  ",T-BUSH-T,9.995635699999664
DD3535,DBText,"931.18",L-BD,9.995635699999925
DD3536,DBText,"30"",L-BD,9.995635699999925
DD3852,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing Proposed Workspace}",T-EXISTING RTF,9.995635699999925
DD3853,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing Proposed Workspace}",T-EXISTING RTF,9.995635699999925
DD3854,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing Proposed Log Deck}",T-EXISTING RTF,9.995635699999925
DEDD3A,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
DEDD3B,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
DEDD3C,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
DEDD3D,MText,"Theoretic Government Road Allowance",L-ROAD-T,9.990452463107435
DEDD66,MText,"\pxqc;CNRL\P10-19 (Surface)\PMSL 882222",F-WS-T,9.995635699999946
DEDECB,MText,"\pxqc;CNRL\PRiser Site\PPIL 040139",F-WS-T,9.995635699999946
DEE49A,MText,"\pxqc;CNRL\P15.00 P/L R/W\PPlan 902 0483\PPLA 890832",F-RW-T,9.995635699999946
DEE659,MText,"Rge. 3",D-TXT,13.993889979999507
DEE65A,MText,"Rge. 2",D-TXT,13.993889979999507
DEFA56,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
DEFA6D,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
DEFA84,DBText,"Theor. N.W.1/4 Sec. 19-65-2-W.6M.",C-SYMBOL,19.999999999999893
DEFA85,DBText,"Theor. N.E.1/4 Sec. 19-65-2-W.6M.",C-SYMBOL,19.999999999999893
DF05C9,DBText,"Theor. S.W.1/4 Sec. 30-65-2-W.6M.",C-SYMBOL,19.999999999999893
DF05CA,MText,"\pxqc;UNSURVEYED TERRITORY",L-UNS-T,15.999999999999321
DF0772,MText,"{\fArial Narrow|b0|i1|c0|p34;10m High Grade Gravel Road}",AS-GENERAL,9.991042007070856
DF0773,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;20cm Birch \P30cm Poplar \P40cm Spruce}",T-BUSH-T,9.990902069790849
DF0775,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;20cm Birch \P30cm Poplar \P40cm Spruce}",T-BUSH-T,9.990902069790849
DF0777,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;20cm Poplar\P& Birch}",T-BUSH-T,9.995397200000241
DF48F6,MText,"\pxqc;{\fArial Narrow|b0|i1|c0|p34;Existing Proposed Workspace}",T-EXISTING RTF,9.995635699999925
DF90A0,MText,"TPA 1834",AS-TRAPPER BOUNDARY,11.994762839999952
