Handle,ObjType,Content,Layer,Extra,Label
AFA8BA,BlockReference,L-SECLBL,L-SECLBL,1,True
AFD99E,BlockReference,GAS,F-WS-S,4.997325200000118,True
AFD99F,MText,Paramount 4-24 (Surface) MSL 407,F-WS-T,10.005352463353931,True
AFD9A9,MText,Trace Waste Management Site MLL 190059 (Expired),F-RW-T,9.994650400000266,True
AFD9BC,MText,Trace 8.00 A/R LOC 190533 (Expired),F-AR-T,10.005352463353931,True
AFD9D1,AlignedDimension,Paramount  P/L R/W  911 RS  3235,F-RW-T,Compass 5 000,True
AFDA11,AlignedDimension,ATCO  Vegetation Control R/W  890416,F-EZE-T,Compass 5 000,True
AFDA39,AlignedDimension,Texcal  A/R  9776,F-AR-T,Compass 5 000,True
AFE274,AlignedDimension,Texcal  P/L R/W  762 2395  6098,F-RW-T,Compass 5 000,True
AFE2EE,AlignedDimension,Texcal  P/L R/W  4038,F-RW-T,Compass 5 000,True
AFE31E,MText,Northward Tower Site DML 000018,F-WS-T,10.005352463353931,True
AFE320,AlignedDimension,ATCO  Power Line R/W  000187,F-EZE-T,Compass 5 000,True
AFE39E,AlignedDimension,PGI  A/R  2439,F-WS-T,Compass 5 000,True
AFE3E5,AlignedDimension,Telus  Cable R/W  3568,F-RW-T,Compass 5 000,True
AFEC7C,AlignedDimension,Paramount  A/R  1035,F-AR-T,Compass 5 000,True
AFF59B,AlignedDimension,ATCO  Power Line R/W  2527,F-EZE-T,Compass 5 000,True
AFF5CC,AlignedDimension,Texcal  A/R  6516,F-AR-T,Compass 5 000,True
AFF642,AlignedDimension,Texcal  P/L R/W  892 0544  880372,F-RW-T,Compass 5 000,True
AFF66F,AlignedDimension,Texcal  P/L R/W  4037,F-RW-T,Compass 5 000,True
AFF69B,MText,Texcal Plant Site MLL 3071 (Expired),F-RW-T,9.994650400000266,True
AFFE8A,AlignedDimension,Texcal  P/L R/W  752 1416  5577,F-RW-T,Compass 5 000,True
AFFEE8,AlignedDimension,Texcal  P/L R/W  050859,F-RW-T,Compass 5 000,True
AFFF32,AlignedDimension,Paramount  P/L R/W  782 1151  770641,F-RW-T,Compass 5 000,True
AFFF85,AlignedDimension,Pembina  P/L R/W  5009 TR  4961,F-RW-T,Compass 5 000,True
AFFFE3,AlignedDimension,Texcal  P/L R/W  932 1861  930342,F-RW-T,Compass 5 000,True
B00830,MText,Texcal 3-24 (Surface) MSL 6878,F-WS-T,10.005352463353931,True
B00839,BlockReference,GAS,F-WS-S,4.997325200000118,True
B01029,AlignedDimension,Texcal  P/L R/W  922 1491  910421,F-RW-T,Compass 5 000,True
B0107A,AlignedDimension,Texcal  P/L R/W  752 1416  5577,F-RW-T,Compass 5 000,True
B018D2,AlignedDimension,Texcal  P/L R/W  952 2554  940411,F-RW-T,Compass 5 000,True
B0191C,AlignedDimension,Texcal  P/L R/W  872 1557  860678,F-RW-T,Compass 5 000,True
B01990,AlignedDimension,Texcal  P/L R/W  862 1552  850824,F-RW-T,Compass 5 000,True
B021E9,AlignedDimension,Texcal  P/L R/W  3983,F-RW-T,Compass 5 000,True
B02242,BlockReference,GAS,F-WS-S,5.000000000000116,True
B02243,BlockReference,GAS,F-WS-S,5.000000000000116,True
B02254,MText,Texcal  7-24 (Surface) MSL 962214,F-RW-T,9.994650400000266,True
B02294,AlignedDimension,Texcal  A/R  962214,F-AR-T,Compass 5 000,True
B022EE,AlignedDimension,Texcal  P/L R/W  932 0624  920316,F-RW-T,Compass 5 000,True
B02B4A,AlignedDimension,Texcal  P/L R/W  012 2312  970414,F-RW-T,Compass 5 000,True
B02BBA,MText,Town of Fox Creek Water Well DML 040053,F-RW-T,9.994650400000266,True
B02BC6,MText,Hybrid Tower Site Plan 092 8769 DML 2831,F-RW-T,9.994650400000266,True
B033BB,AlignedDimension,ATCO  Power Line R/W  970024,F-EZE-T,Compass 5 000,True
B0340D,AlignedDimension,Texcal  A/R  6815,F-AR-T,Compass 5 000,True
B03C58,MText,Whitecap FC661 7-24 (Surface) MSL 231768,C-WS-T,10.005352463353937,True
B04470,AlignedDimension,Whitecap  A/R  232212,C-AR-T,Compass 5 000,True
B044B2,AlignedDimension,Texcal  A/R  6516,F-AR-T,Compass 5 000,True
B044FF,AlignedDimension,Pembina  P/L R/W  120877,F-RW-T,Compass 5 000,True
B04549,AlignedDimension,PGI  P/L R/W  802 0194  780509,F-RW-T,Compass 5 000,True
B04575,AlignedDimension,Texcal  P/L R/W  4865,F-RW-T,Compass 5 000,True
B04DF0,AlignedDimension,Pembina  P/L R/W  297 RS  3018,F-RW-T,Compass 5 000,True
B04E3A,AlignedDimension,Texcal  P/L R/W  3983,F-RW-T,Compass 5 000,True
B04E5E,AlignedDimension,PGI  A/R  241184,F-AR-T,Compass 5 000,True
B04EB8,MText,PGI Riser Site PIL 240201,F-AR-T,10.005352463353937,True
